DiseaseGroup,bin_midpoint,count,sampled_values,n_samples
Healthy,0.005,16785,250000,74
Healthy,0.015,20448,250000,74
Healthy,0.025,13937,250000,74
Healthy,0.035,8830,250000,74
Healthy,0.045,6003,250000,74
Healthy,0.055,4261,250000,74
Healthy,0.065,3356,250000,74
Healthy,0.07500000000000001,2747,250000,74
Healthy,0.08499999999999999,2426,250000,74
Healthy,0.095,2103,250000,74
Healthy,0.10500000000000001,1827,250000,74
Healthy,0.11499999999999999,1713,250000,74
Healthy,0.125,1682,250000,74
Healthy,0.135,1468,250000,74
Healthy,0.14500000000000002,1304,250000,74
Healthy,0.155,1230,250000,74
Healthy,0.165,1174,250000,74
Healthy,0.175,1096,250000,74
Healthy,0.185,1102,250000,74
Healthy,0.195,1031,250000,74
Healthy,0.20500000000000002,1008,250000,74
Healthy,0.215,954,250000,74
Healthy,0.225,989,250000,74
Healthy,0.235,961,250000,74
Healthy,0.245,979,250000,74
Healthy,0.255,942,250000,74
Healthy,0.265,892,250000,74
Healthy,0.275,893,250000,74
Healthy,0.28500000000000003,897,250000,74
Healthy,0.295,898,250000,74
Healthy,0.305,882,250000,74
Healthy,0.315,884,250000,74
Healthy,0.325,904,250000,74
Healthy,0.335,924,250000,74
Healthy,0.34500000000000003,867,250000,74
Healthy,0.355,855,250000,74
Healthy,0.365,850,250000,74
Healthy,0.375,846,250000,74
Healthy,0.385,861,250000,74
Healthy,0.395,819,250000,74
Healthy,0.405,881,250000,74
Healthy,0.41500000000000004,881,250000,74
Healthy,0.425,839,250000,74
Healthy,0.435,835,250000,74
Healthy,0.445,892,250000,74
Healthy,0.455,875,250000,74
Healthy,0.465,917,250000,74
Healthy,0.475,872,250000,74
Healthy,0.485,963,250000,74
Healthy,0.495,822,250000,74
Healthy,0.505,879,250000,74
Healthy,0.515,914,250000,74
Healthy,0.525,995,250000,74
Healthy,0.535,915,250000,74
Healthy,0.545,991,250000,74
Healthy,0.555,986,250000,74
Healthy,0.5650000000000001,985,250000,74
Healthy,0.575,1009,250000,74
Healthy,0.585,1090,250000,74
Healthy,0.595,1021,250000,74
Healthy,0.605,1040,250000,74
Healthy,0.615,1053,250000,74
Healthy,0.625,1138,250000,74
Healthy,0.635,1147,250000,74
Healthy,0.645,1219,250000,74
Healthy,0.655,1231,250000,74
Healthy,0.665,1265,250000,74
Healthy,0.675,1338,250000,74
Healthy,0.685,1353,250000,74
Healthy,0.6950000000000001,1421,250000,74
Healthy,0.7050000000000001,1484,250000,74
Healthy,0.715,1481,250000,74
Healthy,0.725,1493,250000,74
Healthy,0.735,1567,250000,74
Healthy,0.745,1662,250000,74
Healthy,0.755,1636,250000,74
Healthy,0.765,1697,250000,74
Healthy,0.775,1700,250000,74
Healthy,0.785,1901,250000,74
Healthy,0.795,1897,250000,74
Healthy,0.805,2005,250000,74
Healthy,0.8150000000000001,2132,250000,74
Healthy,0.8250000000000001,2197,250000,74
Healthy,0.835,2273,250000,74
Healthy,0.845,2567,250000,74
Healthy,0.855,2611,250000,74
Healthy,0.865,2833,250000,74
Healthy,0.875,3068,250000,74
Healthy,0.885,3294,250000,74
Healthy,0.895,3645,250000,74
Healthy,0.905,4229,250000,74
Healthy,0.915,4761,250000,74
Healthy,0.925,5631,250000,74
Healthy,0.935,6624,250000,74
Healthy,0.9450000000000001,7844,250000,74
Healthy,0.9550000000000001,9242,250000,74
Healthy,0.965,10281,250000,74
Healthy,0.975,9579,250000,74
Healthy,0.985,4764,250000,74
Healthy,0.995,507,250000,74
Healthy obese,0.005,13225,250000,228
Healthy obese,0.015,20034,250000,228
Healthy obese,0.025,15511,250000,228
Healthy obese,0.035,9895,250000,228
Healthy obese,0.045,6540,250000,228
Healthy obese,0.055,4711,250000,228
Healthy obese,0.065,3550,250000,228
Healthy obese,0.07500000000000001,2933,250000,228
Healthy obese,0.08499999999999999,2458,250000,228
Healthy obese,0.095,2111,250000,228
Healthy obese,0.10500000000000001,1921,250000,228
Healthy obese,0.11499999999999999,1711,250000,228
Healthy obese,0.125,1550,250000,228
Healthy obese,0.135,1364,250000,228
Healthy obese,0.14500000000000002,1349,250000,228
Healthy obese,0.155,1243,250000,228
Healthy obese,0.165,1155,250000,228
Healthy obese,0.175,1080,250000,228
Healthy obese,0.185,1023,250000,228
Healthy obese,0.195,975,250000,228
Healthy obese,0.20500000000000002,948,250000,228
Healthy obese,0.215,943,250000,228
Healthy obese,0.225,904,250000,228
Healthy obese,0.235,934,250000,228
Healthy obese,0.245,900,250000,228
Healthy obese,0.255,941,250000,228
Healthy obese,0.265,957,250000,228
Healthy obese,0.275,887,250000,228
Healthy obese,0.28500000000000003,907,250000,228
Healthy obese,0.295,918,250000,228
Healthy obese,0.305,890,250000,228
Healthy obese,0.315,814,250000,228
Healthy obese,0.325,900,250000,228
Healthy obese,0.335,939,250000,228
Healthy obese,0.34500000000000003,940,250000,228
Healthy obese,0.355,870,250000,228
Healthy obese,0.365,853,250000,228
Healthy obese,0.375,875,250000,228
Healthy obese,0.385,857,250000,228
Healthy obese,0.395,874,250000,228
Healthy obese,0.405,911,250000,228
Healthy obese,0.41500000000000004,888,250000,228
Healthy obese,0.425,841,250000,228
Healthy obese,0.435,889,250000,228
Healthy obese,0.445,897,250000,228
Healthy obese,0.455,941,250000,228
Healthy obese,0.465,902,250000,228
Healthy obese,0.475,943,250000,228
Healthy obese,0.485,944,250000,228
Healthy obese,0.495,988,250000,228
Healthy obese,0.505,931,250000,228
Healthy obese,0.515,941,250000,228
Healthy obese,0.525,970,250000,228
Healthy obese,0.535,993,250000,228
Healthy obese,0.545,1004,250000,228
Healthy obese,0.555,1002,250000,228
Healthy obese,0.5650000000000001,1046,250000,228
Healthy obese,0.575,1121,250000,228
Healthy obese,0.585,1102,250000,228
Healthy obese,0.595,1079,250000,228
Healthy obese,0.605,1118,250000,228
Healthy obese,0.615,1168,250000,228
Healthy obese,0.625,1116,250000,228
Healthy obese,0.635,1147,250000,228
Healthy obese,0.645,1256,250000,228
Healthy obese,0.655,1275,250000,228
Healthy obese,0.665,1298,250000,228
Healthy obese,0.675,1319,250000,228
Healthy obese,0.685,1328,250000,228
Healthy obese,0.6950000000000001,1399,250000,228
Healthy obese,0.7050000000000001,1480,250000,228
Healthy obese,0.715,1517,250000,228
Healthy obese,0.725,1580,250000,228
Healthy obese,0.735,1566,250000,228
Healthy obese,0.745,1659,250000,228
Healthy obese,0.755,1728,250000,228
Healthy obese,0.765,1703,250000,228
Healthy obese,0.775,1830,250000,228
Healthy obese,0.785,1834,250000,228
Healthy obese,0.795,1894,250000,228
Healthy obese,0.805,2085,250000,228
Healthy obese,0.8150000000000001,2169,250000,228
Healthy obese,0.8250000000000001,2237,250000,228
Healthy obese,0.835,2507,250000,228
Healthy obese,0.845,2529,250000,228
Healthy obese,0.855,2601,250000,228
Healthy obese,0.865,2849,250000,228
Healthy obese,0.875,3053,250000,228
Healthy obese,0.885,3295,250000,228
Healthy obese,0.895,3443,250000,228
Healthy obese,0.905,3790,250000,228
Healthy obese,0.915,4621,250000,228
Healthy obese,0.925,5680,250000,228
Healthy obese,0.935,6948,250000,228
Healthy obese,0.9450000000000001,7856,250000,228
Healthy obese,0.9550000000000001,9119,250000,228
Healthy obese,0.965,9850,250000,228
Healthy obese,0.975,8984,250000,228
Healthy obese,0.985,4864,250000,228
Healthy obese,0.995,582,250000,228
MASL,0.005,13996,250000,50
MASL,0.015,22167,250000,50
MASL,0.025,14673,250000,50
MASL,0.035,9311,250000,50
MASL,0.045,6135,250000,50
MASL,0.055,4405,250000,50
MASL,0.065,3362,250000,50
MASL,0.07500000000000001,2717,250000,50
MASL,0.08499999999999999,2294,250000,50
MASL,0.095,1990,250000,50
MASL,0.10500000000000001,1724,250000,50
MASL,0.11499999999999999,1696,250000,50
MASL,0.125,1453,250000,50
MASL,0.135,1426,250000,50
MASL,0.14500000000000002,1274,250000,50
MASL,0.155,1235,250000,50
MASL,0.165,1154,250000,50
MASL,0.175,1014,250000,50
MASL,0.185,1024,250000,50
MASL,0.195,968,250000,50
MASL,0.20500000000000002,987,250000,50
MASL,0.215,1019,250000,50
MASL,0.225,931,250000,50
MASL,0.235,889,250000,50
MASL,0.245,970,250000,50
MASL,0.255,869,250000,50
MASL,0.265,913,250000,50
MASL,0.275,889,250000,50
MASL,0.28500000000000003,879,250000,50
MASL,0.295,841,250000,50
MASL,0.305,886,250000,50
MASL,0.315,916,250000,50
MASL,0.325,896,250000,50
MASL,0.335,837,250000,50
MASL,0.34500000000000003,900,250000,50
MASL,0.355,901,250000,50
MASL,0.365,854,250000,50
MASL,0.375,884,250000,50
MASL,0.385,892,250000,50
MASL,0.395,911,250000,50
MASL,0.405,955,250000,50
MASL,0.41500000000000004,862,250000,50
MASL,0.425,886,250000,50
MASL,0.435,950,250000,50
MASL,0.445,963,250000,50
MASL,0.455,919,250000,50
MASL,0.465,933,250000,50
MASL,0.475,927,250000,50
MASL,0.485,972,250000,50
MASL,0.495,958,250000,50
MASL,0.505,974,250000,50
MASL,0.515,944,250000,50
MASL,0.525,974,250000,50
MASL,0.535,1009,250000,50
MASL,0.545,1042,250000,50
MASL,0.555,1056,250000,50
MASL,0.5650000000000001,1052,250000,50
MASL,0.575,1085,250000,50
MASL,0.585,1118,250000,50
MASL,0.595,1071,250000,50
MASL,0.605,1108,250000,50
MASL,0.615,1202,250000,50
MASL,0.625,1143,250000,50
MASL,0.635,1232,250000,50
MASL,0.645,1279,250000,50
MASL,0.655,1312,250000,50
MASL,0.665,1368,250000,50
MASL,0.675,1451,250000,50
MASL,0.685,1411,250000,50
MASL,0.6950000000000001,1483,250000,50
MASL,0.7050000000000001,1489,250000,50
MASL,0.715,1533,250000,50
MASL,0.725,1553,250000,50
MASL,0.735,1593,250000,50
MASL,0.745,1669,250000,50
MASL,0.755,1656,250000,50
MASL,0.765,1773,250000,50
MASL,0.775,1907,250000,50
MASL,0.785,1895,250000,50
MASL,0.795,2021,250000,50
MASL,0.805,1979,250000,50
MASL,0.8150000000000001,2136,250000,50
MASL,0.8250000000000001,2248,250000,50
MASL,0.835,2441,250000,50
MASL,0.845,2555,250000,50
MASL,0.855,2583,250000,50
MASL,0.865,2813,250000,50
MASL,0.875,3021,250000,50
MASL,0.885,3210,250000,50
MASL,0.895,3727,250000,50
MASL,0.905,4202,250000,50
MASL,0.915,4831,250000,50
MASL,0.925,5502,250000,50
MASL,0.935,6543,250000,50
MASL,0.9450000000000001,7641,250000,50
MASL,0.9550000000000001,8857,250000,50
MASL,0.965,9708,250000,50
MASL,0.975,9209,250000,50
MASL,0.985,4642,250000,50
MASL,0.995,342,250000,50
MASH,0.005,15326,250000,79
MASH,0.015,21504,250000,79
MASH,0.025,14092,250000,79
MASH,0.035,8611,250000,79
MASH,0.045,5875,250000,79
MASH,0.055,4311,250000,79
MASH,0.065,3351,250000,79
MASH,0.07500000000000001,2686,250000,79
MASH,0.08499999999999999,2307,250000,79
MASH,0.095,2014,250000,79
MASH,0.10500000000000001,1759,250000,79
MASH,0.11499999999999999,1610,250000,79
MASH,0.125,1536,250000,79
MASH,0.135,1352,250000,79
MASH,0.14500000000000002,1256,250000,79
MASH,0.155,1186,250000,79
MASH,0.165,1180,250000,79
MASH,0.175,1141,250000,79
MASH,0.185,1042,250000,79
MASH,0.195,1012,250000,79
MASH,0.20500000000000002,992,250000,79
MASH,0.215,914,250000,79
MASH,0.225,897,250000,79
MASH,0.235,915,250000,79
MASH,0.245,938,250000,79
MASH,0.255,878,250000,79
MASH,0.265,891,250000,79
MASH,0.275,836,250000,79
MASH,0.28500000000000003,888,250000,79
MASH,0.295,876,250000,79
MASH,0.305,889,250000,79
MASH,0.315,889,250000,79
MASH,0.325,937,250000,79
MASH,0.335,884,250000,79
MASH,0.34500000000000003,887,250000,79
MASH,0.355,896,250000,79
MASH,0.365,862,250000,79
MASH,0.375,946,250000,79
MASH,0.385,918,250000,79
MASH,0.395,922,250000,79
MASH,0.405,921,250000,79
MASH,0.41500000000000004,986,250000,79
MASH,0.425,982,250000,79
MASH,0.435,924,250000,79
MASH,0.445,1004,250000,79
MASH,0.455,1015,250000,79
MASH,0.465,966,250000,79
MASH,0.475,1041,250000,79
MASH,0.485,1029,250000,79
MASH,0.495,1104,250000,79
MASH,0.505,1014,250000,79
MASH,0.515,1070,250000,79
MASH,0.525,1063,250000,79
MASH,0.535,1091,250000,79
MASH,0.545,1185,250000,79
MASH,0.555,1155,250000,79
MASH,0.5650000000000001,1149,250000,79
MASH,0.575,1187,250000,79
MASH,0.585,1202,250000,79
MASH,0.595,1225,250000,79
MASH,0.605,1272,250000,79
MASH,0.615,1244,250000,79
MASH,0.625,1273,250000,79
MASH,0.635,1332,250000,79
MASH,0.645,1358,250000,79
MASH,0.655,1385,250000,79
MASH,0.665,1380,250000,79
MASH,0.675,1419,250000,79
MASH,0.685,1495,250000,79
MASH,0.6950000000000001,1453,250000,79
MASH,0.7050000000000001,1438,250000,79
MASH,0.715,1496,250000,79
MASH,0.725,1625,250000,79
MASH,0.735,1646,250000,79
MASH,0.745,1681,250000,79
MASH,0.755,1741,250000,79
MASH,0.765,1804,250000,79
MASH,0.775,1910,250000,79
MASH,0.785,1986,250000,79
MASH,0.795,1922,250000,79
MASH,0.805,2061,250000,79
MASH,0.8150000000000001,2157,250000,79
MASH,0.8250000000000001,2251,250000,79
MASH,0.835,2271,250000,79
MASH,0.845,2508,250000,79
MASH,0.855,2628,250000,79
MASH,0.865,2788,250000,79
MASH,0.875,2907,250000,79
MASH,0.885,3277,250000,79
MASH,0.895,3629,250000,79
MASH,0.905,3979,250000,79
MASH,0.915,4745,250000,79
MASH,0.925,5407,250000,79
MASH,0.935,6411,250000,79
MASH,0.9450000000000001,7459,250000,79
MASH,0.9550000000000001,8475,250000,79
MASH,0.965,9616,250000,79
MASH,0.975,9048,250000,79
MASH,0.985,4608,250000,79
MASH,0.995,396,250000,79
Mild fibrosis,0.005,15226,250000,47
Mild fibrosis,0.015,19809,250000,47
Mild fibrosis,0.025,14992,250000,47
Mild fibrosis,0.035,9408,250000,47
Mild fibrosis,0.045,6144,250000,47
Mild fibrosis,0.055,4475,250000,47
Mild fibrosis,0.065,3472,250000,47
Mild fibrosis,0.07500000000000001,2737,250000,47
Mild fibrosis,0.08499999999999999,2324,250000,47
Mild fibrosis,0.095,2015,250000,47
Mild fibrosis,0.10500000000000001,1803,250000,47
Mild fibrosis,0.11499999999999999,1582,250000,47
Mild fibrosis,0.125,1524,250000,47
Mild fibrosis,0.135,1325,250000,47
Mild fibrosis,0.14500000000000002,1265,250000,47
Mild fibrosis,0.155,1164,250000,47
Mild fibrosis,0.165,1130,250000,47
Mild fibrosis,0.175,1050,250000,47
Mild fibrosis,0.185,1001,250000,47
Mild fibrosis,0.195,1000,250000,47
Mild fibrosis,0.20500000000000002,978,250000,47
Mild fibrosis,0.215,913,250000,47
Mild fibrosis,0.225,929,250000,47
Mild fibrosis,0.235,889,250000,47
Mild fibrosis,0.245,884,250000,47
Mild fibrosis,0.255,929,250000,47
Mild fibrosis,0.265,898,250000,47
Mild fibrosis,0.275,871,250000,47
Mild fibrosis,0.28500000000000003,845,250000,47
Mild fibrosis,0.295,866,250000,47
Mild fibrosis,0.305,879,250000,47
Mild fibrosis,0.315,821,250000,47
Mild fibrosis,0.325,852,250000,47
Mild fibrosis,0.335,878,250000,47
Mild fibrosis,0.34500000000000003,894,250000,47
Mild fibrosis,0.355,884,250000,47
Mild fibrosis,0.365,904,250000,47
Mild fibrosis,0.375,974,250000,47
Mild fibrosis,0.385,869,250000,47
Mild fibrosis,0.395,889,250000,47
Mild fibrosis,0.405,963,250000,47
Mild fibrosis,0.41500000000000004,944,250000,47
Mild fibrosis,0.425,894,250000,47
Mild fibrosis,0.435,986,250000,47
Mild fibrosis,0.445,955,250000,47
Mild fibrosis,0.455,1005,250000,47
Mild fibrosis,0.465,1029,250000,47
Mild fibrosis,0.475,978,250000,47
Mild fibrosis,0.485,992,250000,47
Mild fibrosis,0.495,1016,250000,47
Mild fibrosis,0.505,1056,250000,47
Mild fibrosis,0.515,1038,250000,47
Mild fibrosis,0.525,1102,250000,47
Mild fibrosis,0.535,1055,250000,47
Mild fibrosis,0.545,1081,250000,47
Mild fibrosis,0.555,1144,250000,47
Mild fibrosis,0.5650000000000001,1129,250000,47
Mild fibrosis,0.575,1107,250000,47
Mild fibrosis,0.585,1157,250000,47
Mild fibrosis,0.595,1207,250000,47
Mild fibrosis,0.605,1196,250000,47
Mild fibrosis,0.615,1217,250000,47
Mild fibrosis,0.625,1233,250000,47
Mild fibrosis,0.635,1281,250000,47
Mild fibrosis,0.645,1280,250000,47
Mild fibrosis,0.655,1308,250000,47
Mild fibrosis,0.665,1335,250000,47
Mild fibrosis,0.675,1422,250000,47
Mild fibrosis,0.685,1392,250000,47
Mild fibrosis,0.6950000000000001,1439,250000,47
Mild fibrosis,0.7050000000000001,1544,250000,47
Mild fibrosis,0.715,1557,250000,47
Mild fibrosis,0.725,1511,250000,47
Mild fibrosis,0.735,1725,250000,47
Mild fibrosis,0.745,1694,250000,47
Mild fibrosis,0.755,1728,250000,47
Mild fibrosis,0.765,1731,250000,47
Mild fibrosis,0.775,1869,250000,47
Mild fibrosis,0.785,1933,250000,47
Mild fibrosis,0.795,1888,250000,47
Mild fibrosis,0.805,2082,250000,47
Mild fibrosis,0.8150000000000001,2204,250000,47
Mild fibrosis,0.8250000000000001,2302,250000,47
Mild fibrosis,0.835,2387,250000,47
Mild fibrosis,0.845,2469,250000,47
Mild fibrosis,0.855,2612,250000,47
Mild fibrosis,0.865,2768,250000,47
Mild fibrosis,0.875,2971,250000,47
Mild fibrosis,0.885,3327,250000,47
Mild fibrosis,0.895,3461,250000,47
Mild fibrosis,0.905,4227,250000,47
Mild fibrosis,0.915,4728,250000,47
Mild fibrosis,0.925,5498,250000,47
Mild fibrosis,0.935,6418,250000,47
Mild fibrosis,0.9450000000000001,7544,250000,47
Mild fibrosis,0.9550000000000001,8707,250000,47
Mild fibrosis,0.965,9600,250000,47
Mild fibrosis,0.975,8895,250000,47
Mild fibrosis,0.985,4887,250000,47
Mild fibrosis,0.995,500,250000,47
Advanced fibrosis,0.005,13282,250000,143
Advanced fibrosis,0.015,19525,250000,143
Advanced fibrosis,0.025,15228,250000,143
Advanced fibrosis,0.035,9470,250000,143
Advanced fibrosis,0.045,6366,250000,143
Advanced fibrosis,0.055,4574,250000,143
Advanced fibrosis,0.065,3677,250000,143
Advanced fibrosis,0.07500000000000001,2946,250000,143
Advanced fibrosis,0.08499999999999999,2465,250000,143
Advanced fibrosis,0.095,2095,250000,143
Advanced fibrosis,0.10500000000000001,1845,250000,143
Advanced fibrosis,0.11499999999999999,1700,250000,143
Advanced fibrosis,0.125,1496,250000,143
Advanced fibrosis,0.135,1435,250000,143
Advanced fibrosis,0.14500000000000002,1306,250000,143
Advanced fibrosis,0.155,1167,250000,143
Advanced fibrosis,0.165,1231,250000,143
Advanced fibrosis,0.175,1061,250000,143
Advanced fibrosis,0.185,1017,250000,143
Advanced fibrosis,0.195,916,250000,143
Advanced fibrosis,0.20500000000000002,944,250000,143
Advanced fibrosis,0.215,906,250000,143
Advanced fibrosis,0.225,840,250000,143
Advanced fibrosis,0.235,820,250000,143
Advanced fibrosis,0.245,863,250000,143
Advanced fibrosis,0.255,869,250000,143
Advanced fibrosis,0.265,865,250000,143
Advanced fibrosis,0.275,850,250000,143
Advanced fibrosis,0.28500000000000003,834,250000,143
Advanced fibrosis,0.295,895,250000,143
Advanced fibrosis,0.305,837,250000,143
Advanced fibrosis,0.315,898,250000,143
Advanced fibrosis,0.325,885,250000,143
Advanced fibrosis,0.335,896,250000,143
Advanced fibrosis,0.34500000000000003,858,250000,143
Advanced fibrosis,0.355,953,250000,143
Advanced fibrosis,0.365,974,250000,143
Advanced fibrosis,0.375,947,250000,143
Advanced fibrosis,0.385,965,250000,143
Advanced fibrosis,0.395,964,250000,143
Advanced fibrosis,0.405,978,250000,143
Advanced fibrosis,0.41500000000000004,903,250000,143
Advanced fibrosis,0.425,1009,250000,143
Advanced fibrosis,0.435,985,250000,143
Advanced fibrosis,0.445,1031,250000,143
Advanced fibrosis,0.455,1021,250000,143
Advanced fibrosis,0.465,1034,250000,143
Advanced fibrosis,0.475,1047,250000,143
Advanced fibrosis,0.485,1023,250000,143
Advanced fibrosis,0.495,1026,250000,143
Advanced fibrosis,0.505,1105,250000,143
Advanced fibrosis,0.515,1093,250000,143
Advanced fibrosis,0.525,1124,250000,143
Advanced fibrosis,0.535,1147,250000,143
Advanced fibrosis,0.545,1210,250000,143
Advanced fibrosis,0.555,1249,250000,143
Advanced fibrosis,0.5650000000000001,1221,250000,143
Advanced fibrosis,0.575,1178,250000,143
Advanced fibrosis,0.585,1252,250000,143
Advanced fibrosis,0.595,1285,250000,143
Advanced fibrosis,0.605,1253,250000,143
Advanced fibrosis,0.615,1297,250000,143
Advanced fibrosis,0.625,1292,250000,143
Advanced fibrosis,0.635,1289,250000,143
Advanced fibrosis,0.645,1329,250000,143
Advanced fibrosis,0.655,1364,250000,143
Advanced fibrosis,0.665,1384,250000,143
Advanced fibrosis,0.675,1463,250000,143
Advanced fibrosis,0.685,1449,250000,143
Advanced fibrosis,0.6950000000000001,1496,250000,143
Advanced fibrosis,0.7050000000000001,1530,250000,143
Advanced fibrosis,0.715,1613,250000,143
Advanced fibrosis,0.725,1562,250000,143
Advanced fibrosis,0.735,1714,250000,143
Advanced fibrosis,0.745,1733,250000,143
Advanced fibrosis,0.755,1735,250000,143
Advanced fibrosis,0.765,1892,250000,143
Advanced fibrosis,0.775,1873,250000,143
Advanced fibrosis,0.785,2013,250000,143
Advanced fibrosis,0.795,2019,250000,143
Advanced fibrosis,0.805,2076,250000,143
Advanced fibrosis,0.8150000000000001,2108,250000,143
Advanced fibrosis,0.8250000000000001,2301,250000,143
Advanced fibrosis,0.835,2440,250000,143
Advanced fibrosis,0.845,2560,250000,143
Advanced fibrosis,0.855,2640,250000,143
Advanced fibrosis,0.865,2833,250000,143
Advanced fibrosis,0.875,3010,250000,143
Advanced fibrosis,0.885,3093,250000,143
Advanced fibrosis,0.895,3416,250000,143
Advanced fibrosis,0.905,3667,250000,143
Advanced fibrosis,0.915,4402,250000,143
Advanced fibrosis,0.925,5503,250000,143
Advanced fibrosis,0.935,6481,250000,143
Advanced fibrosis,0.9450000000000001,7454,250000,143
Advanced fibrosis,0.9550000000000001,8547,250000,143
Advanced fibrosis,0.965,9240,250000,143
Advanced fibrosis,0.975,8857,250000,143
Advanced fibrosis,0.985,4877,250000,143
Advanced fibrosis,0.995,609,250000,143
