run_id,outcome,outcome_levels,covariate_set,tune_metric,cv_strategy,random_seed,split_rule,n_samples,train_n,test_n,n_folds,holdout_n,class_counts,input_file,split_file
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,Healthy;Disease,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,621,621,,6.0,0,Healthy=302;Disease=319,classifier/data/processed/classifier_inputs_binary_healthy_vs_disease_cpg_only_loso.rds,classifier/data/processed/cv_split_binary_healthy_vs_disease_cpg_only_loso.rds
binary_healthy_vs_disease_cpg_only_train_test,binary_healthy_vs_disease,Healthy;Disease,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",621,436,185.0,,0,Healthy=302;Disease=319,classifier/data/processed/classifier_inputs_binary_healthy_vs_disease_cpg_only_train_test.rds,classifier/data/processed/cv_split_binary_healthy_vs_disease_cpg_only_train_test.rds
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,Healthy;Disease,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,393,393,,6.0,0,Healthy=74;Disease=319,classifier/data/processed/classifier_inputs_binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso.rds,classifier/data/processed/cv_split_binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso.rds
binary_healthy_vs_disease_no_healthy_obese_cpg_only_train_test,binary_healthy_vs_disease_no_healthy_obese,Healthy;Disease,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",393,276,117.0,,0,Healthy=74;Disease=319,classifier/data/processed/classifier_inputs_binary_healthy_vs_disease_no_healthy_obese_cpg_only_train_test.rds,classifier/data/processed/cv_split_binary_healthy_vs_disease_no_healthy_obese_cpg_only_train_test.rds
disease_group_3_cpg_only_loso,disease_group_3,Healthy;Mild;Advanced,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,621,621,,6.0,0,Healthy=302;Mild=176;Advanced=143,classifier/data/processed/classifier_inputs_disease_group_3_cpg_only_loso.rds,classifier/data/processed/cv_split_disease_group_3_cpg_only_loso.rds
disease_group_3_cpg_only_train_test,disease_group_3,Healthy;Mild;Advanced,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",621,437,184.0,,0,Healthy=302;Mild=176;Advanced=143,classifier/data/processed/classifier_inputs_disease_group_3_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_3_cpg_only_train_test.rds
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,Healthy;Mild;Advanced,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,393,393,,6.0,0,Healthy=74;Mild=176;Advanced=143,classifier/data/processed/classifier_inputs_disease_group_3_no_healthy_obese_cpg_only_loso.rds,classifier/data/processed/cv_split_disease_group_3_no_healthy_obese_cpg_only_loso.rds
disease_group_3_no_healthy_obese_cpg_only_train_test,disease_group_3_no_healthy_obese,Healthy;Mild;Advanced,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",393,277,116.0,,0,Healthy=74;Mild=176;Advanced=143,classifier/data/processed/classifier_inputs_disease_group_3_no_healthy_obese_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_3_no_healthy_obese_cpg_only_train_test.rds
disease_group_4_all_covariates_train_test,disease_group_4,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,all_covariates,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",534,376,158.0,,0,Healthy=278;MASL_MASH=54;Mild_Fibrosis=49;Advanced_Fibrosis=153,classifier/data/processed/classifier_inputs_disease_group_4_all_covariates_train_test.rds,classifier/data/processed/cv_split_disease_group_4_all_covariates_train_test.rds
disease_group_4_cpg_only_loso,disease_group_4,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,621,621,,6.0,0,Healthy=302;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_4_cpg_only_loso.rds,classifier/data/processed/cv_split_disease_group_4_cpg_only_loso.rds
disease_group_4_cpg_only_train_test,disease_group_4,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",621,437,184.0,,0,Healthy=302;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_4_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_4_cpg_only_train_test.rds
disease_group_4_cpg_only_train_test_johnson_allholdout,disease_group_4,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",296,209,87.0,,325,Healthy=92;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=28,classifier/data/processed/classifier_inputs_disease_group_4_cpg_only_train_test_johnson_allholdout.rds,classifier/data/processed/cv_split_disease_group_4_cpg_only_train_test_johnson_allholdout.rds
disease_group_4_cpg_only_train_test_johnson_nonfibroticholdout,disease_group_4,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",411,290,121.0,,210,Healthy=92;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_4_cpg_only_train_test_johnson_nonfibroticholdout.rds,classifier/data/processed/cv_split_disease_group_4_cpg_only_train_test_johnson_nonfibroticholdout.rds
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,393,393,,6.0,0,Healthy=74;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_4_no_healthy_obese_cpg_only_loso.rds,classifier/data/processed/cv_split_disease_group_4_no_healthy_obese_cpg_only_loso.rds
disease_group_4_no_healthy_obese_cpg_only_train_test,disease_group_4_no_healthy_obese,Healthy;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",393,277,116.0,,0,Healthy=74;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_4_no_healthy_obese_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_4_no_healthy_obese_cpg_only_train_test.rds
disease_group_5_cpg_only_train_test,disease_group_5,Healthy;Healthy_Obese;MASL;MASH;Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",534,376,158.0,,0,Healthy=43;Healthy_Obese=235;MASL=37;MASH=15;Fibrosis=204,classifier/data/processed/classifier_inputs_disease_group_5_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_5_cpg_only_train_test.rds
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,Healthy;Healthy_Obese;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,loso,123,Leave-one-study-out by Dataset; not random/stratified,621,621,,6.0,0,Healthy=74;Healthy_Obese=228;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_5_obesity_split_cpg_only_loso.rds,classifier/data/processed/cv_split_disease_group_5_obesity_split_cpg_only_loso.rds
disease_group_5_obesity_split_cpg_only_train_test,disease_group_5_obesity_split,Healthy;Healthy_Obese;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",621,437,184.0,,0,Healthy=74;Healthy_Obese=228;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_5_obesity_split_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_5_obesity_split_cpg_only_train_test.rds
disease_group_5_obesity_split_cpg_only_train_test_johnson_allholdout,disease_group_5_obesity_split,Healthy;Healthy_Obese;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",296,209,87.0,,325,Healthy=74;Healthy_Obese=18;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=28,classifier/data/processed/classifier_inputs_disease_group_5_obesity_split_cpg_only_train_test_johnson_allholdout.rds,classifier/data/processed/cv_split_disease_group_5_obesity_split_cpg_only_train_test_johnson_allholdout.rds
disease_group_5_obesity_split_cpg_only_train_test_johnson_nonfibroticholdout,disease_group_5_obesity_split,Healthy;Healthy_Obese;MASL_MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",411,290,121.0,,210,Healthy=74;Healthy_Obese=18;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=143,classifier/data/processed/classifier_inputs_disease_group_5_obesity_split_cpg_only_train_test_johnson_nonfibroticholdout.rds,classifier/data/processed/cv_split_disease_group_5_obesity_split_cpg_only_train_test_johnson_nonfibroticholdout.rds
disease_group_6_cpg_only_train_test,disease_group_6,Healthy;Healthy_Obese;MASL;MASH;Mild_Fibrosis;Advanced_Fibrosis,cpg_only,Accuracy,train_test,123,"caret::createDataPartition(stage, p = 0.70); stratified by outcome stage",534,377,157.0,,0,Healthy=43;Healthy_Obese=235;MASL=37;MASH=15;Mild_Fibrosis=51;Advanced_Fibrosis=153,classifier/data/processed/classifier_inputs_disease_group_6_cpg_only_train_test.rds,classifier/data/processed/cv_split_disease_group_6_cpg_only_train_test.rds
