run_id,outcome,fold,heldout_study,training_studies,train_n,test_n,train_class_counts,test_class_counts
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,562,59,Healthy=268;Disease=294,Healthy=34;Disease=25
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,568,53,Healthy=278;Disease=290,Healthy=24;Disease=29
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,515,106,Healthy=271;Disease=244,Healthy=31;Disease=75
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,296,325,Healthy=92;Disease=204,Healthy=210;Disease=115
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,565,56,Healthy=302;Disease=263,Healthy=0;Disease=56
binary_healthy_vs_disease_cpg_only_loso,binary_healthy_vs_disease,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,599,22,Healthy=299;Disease=300,Healthy=3;Disease=19
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,351,42,Healthy=57;Disease=294,Healthy=17;Disease=25
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,341,52,Healthy=51;Disease=290,Healthy=23;Disease=29
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,287,106,Healthy=43;Disease=244,Healthy=31;Disease=75
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,278,115,Healthy=74;Disease=204,Healthy=0;Disease=115
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,337,56,Healthy=74;Disease=263,Healthy=0;Disease=56
binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso,binary_healthy_vs_disease_no_healthy_obese,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,371,22,Healthy=71;Disease=300,Healthy=3;Disease=19
disease_group_3_cpg_only_loso,disease_group_3,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,562,59,Healthy=268;Mild=151;Advanced=143,Healthy=34;Mild=25;Advanced=0
disease_group_3_cpg_only_loso,disease_group_3,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,568,53,Healthy=278;Mild=147;Advanced=143,Healthy=24;Mild=29;Advanced=0
disease_group_3_cpg_only_loso,disease_group_3,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,515,106,Healthy=271;Mild=101;Advanced=143,Healthy=31;Mild=75;Advanced=0
disease_group_3_cpg_only_loso,disease_group_3,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,296,325,Healthy=92;Mild=176;Advanced=28,Healthy=210;Mild=0;Advanced=115
disease_group_3_cpg_only_loso,disease_group_3,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,565,56,Healthy=302;Mild=143;Advanced=120,Healthy=0;Mild=33;Advanced=23
disease_group_3_cpg_only_loso,disease_group_3,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,599,22,Healthy=299;Mild=162;Advanced=138,Healthy=3;Mild=14;Advanced=5
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,351,42,Healthy=57;Mild=151;Advanced=143,Healthy=17;Mild=25;Advanced=0
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,341,52,Healthy=51;Mild=147;Advanced=143,Healthy=23;Mild=29;Advanced=0
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,287,106,Healthy=43;Mild=101;Advanced=143,Healthy=31;Mild=75;Advanced=0
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,278,115,Healthy=74;Mild=176;Advanced=28,Healthy=0;Mild=0;Advanced=115
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,337,56,Healthy=74;Mild=143;Advanced=120,Healthy=0;Mild=33;Advanced=23
disease_group_3_no_healthy_obese_cpg_only_loso,disease_group_3_no_healthy_obese,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,371,22,Healthy=71;Mild=162;Advanced=138,Healthy=3;Mild=14;Advanced=5
disease_group_4_cpg_only_loso,disease_group_4,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,562,59,Healthy=268;MASL_MASH=104;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=34;MASL_MASH=25;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_4_cpg_only_loso,disease_group_4,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,568,53,Healthy=278;MASL_MASH=109;Mild_Fibrosis=38;Advanced_Fibrosis=143,Healthy=24;MASL_MASH=20;Mild_Fibrosis=9;Advanced_Fibrosis=0
disease_group_4_cpg_only_loso,disease_group_4,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,515,106,Healthy=271;MASL_MASH=54;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=31;MASL_MASH=75;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_4_cpg_only_loso,disease_group_4,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,296,325,Healthy=92;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=28,Healthy=210;MASL_MASH=0;Mild_Fibrosis=0;Advanced_Fibrosis=115
disease_group_4_cpg_only_loso,disease_group_4,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,565,56,Healthy=302;MASL_MASH=129;Mild_Fibrosis=14;Advanced_Fibrosis=120,Healthy=0;MASL_MASH=0;Mild_Fibrosis=33;Advanced_Fibrosis=23
disease_group_4_cpg_only_loso,disease_group_4,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,599,22,Healthy=299;MASL_MASH=120;Mild_Fibrosis=42;Advanced_Fibrosis=138,Healthy=3;MASL_MASH=9;Mild_Fibrosis=5;Advanced_Fibrosis=5
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,351,42,Healthy=57;MASL_MASH=104;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=17;MASL_MASH=25;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,341,52,Healthy=51;MASL_MASH=109;Mild_Fibrosis=38;Advanced_Fibrosis=143,Healthy=23;MASL_MASH=20;Mild_Fibrosis=9;Advanced_Fibrosis=0
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,287,106,Healthy=43;MASL_MASH=54;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=31;MASL_MASH=75;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,278,115,Healthy=74;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=28,Healthy=0;MASL_MASH=0;Mild_Fibrosis=0;Advanced_Fibrosis=115
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,337,56,Healthy=74;MASL_MASH=129;Mild_Fibrosis=14;Advanced_Fibrosis=120,Healthy=0;MASL_MASH=0;Mild_Fibrosis=33;Advanced_Fibrosis=23
disease_group_4_no_healthy_obese_cpg_only_loso,disease_group_4_no_healthy_obese,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,371,22,Healthy=71;MASL_MASH=120;Mild_Fibrosis=42;Advanced_Fibrosis=138,Healthy=3;MASL_MASH=9;Mild_Fibrosis=5;Advanced_Fibrosis=5
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,Ahrens,Ahrens,Horvath;ITEN;Johnson;Murphy;VanDijck,562,59,Healthy=57;Healthy_Obese=211;MASL_MASH=104;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=17;Healthy_Obese=17;MASL_MASH=25;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,Horvath,Horvath,Ahrens;ITEN;Johnson;Murphy;VanDijck,568,53,Healthy=51;Healthy_Obese=227;MASL_MASH=109;Mild_Fibrosis=38;Advanced_Fibrosis=143,Healthy=23;Healthy_Obese=1;MASL_MASH=20;Mild_Fibrosis=9;Advanced_Fibrosis=0
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,ITEN,ITEN,Ahrens;Horvath;Johnson;Murphy;VanDijck,515,106,Healthy=43;Healthy_Obese=228;MASL_MASH=54;Mild_Fibrosis=47;Advanced_Fibrosis=143,Healthy=31;Healthy_Obese=0;MASL_MASH=75;Mild_Fibrosis=0;Advanced_Fibrosis=0
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,Johnson,Johnson,Ahrens;Horvath;ITEN;Murphy;VanDijck,296,325,Healthy=74;Healthy_Obese=18;MASL_MASH=129;Mild_Fibrosis=47;Advanced_Fibrosis=28,Healthy=0;Healthy_Obese=210;MASL_MASH=0;Mild_Fibrosis=0;Advanced_Fibrosis=115
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,Murphy,Murphy,Ahrens;Horvath;ITEN;Johnson;VanDijck,565,56,Healthy=74;Healthy_Obese=228;MASL_MASH=129;Mild_Fibrosis=14;Advanced_Fibrosis=120,Healthy=0;Healthy_Obese=0;MASL_MASH=0;Mild_Fibrosis=33;Advanced_Fibrosis=23
disease_group_5_obesity_split_cpg_only_loso,disease_group_5_obesity_split,VanDijck,VanDijck,Ahrens;Horvath;ITEN;Johnson;Murphy,599,22,Healthy=71;Healthy_Obese=228;MASL_MASH=120;Mild_Fibrosis=42;Advanced_Fibrosis=138,Healthy=3;Healthy_Obese=0;MASL_MASH=9;Mild_Fibrosis=5;Advanced_Fibrosis=5
