"analysis_role","matrix","Correction","StageVar","Clock","reference_group","Comparison","contrast","beta","ci_lower","ci_upper","p_value","q_value","fdr_significant","n_model_samples","std_error","statistic","term","model","covariates","residualization"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath1","Healthy","Advanced_Fibrosis","Advanced_Fibrosis vs Healthy",9.03101596426198,6.23537659861115,11.8266553299128,4.61813018350879e-10,3.95839730015039e-09,TRUE,565,1.42325664221683,6.34531798158027,"DiseaseGroupAdvanced_Fibrosis","Horvath1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath1","Healthy","Healthy_Obese","Healthy_Obese vs Healthy",4.63191966777564,1.96748642103578,7.29635291451551,0.00068524260541636,0.0017131065135409,TRUE,565,1.35645976471755,3.41471217079566,"DiseaseGroupHealthy_Obese","Horvath1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath1","Healthy","MASH","MASH vs Healthy",6.22415154446348,4.49298303920139,7.95532004972557,4.93443631550484e-12,9.86887263100968e-11,TRUE,565,0.88133580610718,7.06217936606396,"DiseaseGroupMASH","Horvath1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath1","Healthy","MASL","MASL vs Healthy",4.28211599515266,2.40553343368227,6.15869855662305,8.98252160971017e-06,3.59300864388407e-05,TRUE,565,0.955365927414323,4.48217365961764,"DiseaseGroupMASL","Horvath1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath1","Healthy","Mild_Fibrosis","Mild_Fibrosis vs Healthy",7.30884579075685,4.12520211963996,10.4924894618737,7.93802325891381e-06,3.40200996810592e-05,TRUE,565,1.62078916795973,4.5094364740587,"DiseaseGroupMild_Fibrosis","Horvath1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath2","Healthy","Advanced_Fibrosis","Advanced_Fibrosis vs Healthy",-3.33037393659225,-7.32849778526801,0.667749912083505,0.102367019509918,0.133522199360763,FALSE,565,2.03544004779334,-1.63619357897707,"DiseaseGroupAdvanced_Fibrosis","Horvath2_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath2","Healthy","Healthy_Obese","Healthy_Obese vs Healthy",-0.410154345608609,-4.22063656941835,3.40032787820113,0.832629998221744,0.84674237107296,FALSE,565,1.93991192201709,-0.211429364886905,"DiseaseGroupHealthy_Obese","Horvath2_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath2","Healthy","MASH","MASH vs Healthy",-0.16237816158361,-2.63817177502538,2.31341545185816,0.897540305854414,0.897540305854414,FALSE,565,1.2604235540476,-0.128828250679833,"DiseaseGroupMASH","Horvath2_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath2","Healthy","MASL","MASL vs Healthy",-0.331439174919226,-3.0151935908888,2.35231524105035,0.808418824137361,0.836295335314511,FALSE,565,1.36629614875888,-0.242582236084249,"DiseaseGroupMASL","Horvath2_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Horvath2","Healthy","Mild_Fibrosis","Mild_Fibrosis vs Healthy",3.62931416487445,-0.923705743047337,8.18233407279624,0.117977710776958,0.147472138471198,FALSE,565,2.31793696487263,1.56575188189981,"DiseaseGroupMild_Fibrosis","Horvath2_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Hannum","Healthy","Advanced_Fibrosis","Advanced_Fibrosis vs Healthy",-6.22204149359058,-9.09372692610373,-3.35035606107743,2.44473992993387e-05,8.14913309977957e-05,TRUE,565,1.46197160349047,-4.25592499795166,"DiseaseGroupAdvanced_Fibrosis","Hannum_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Hannum","Healthy","Healthy_Obese","Healthy_Obese vs Healthy",-1.2514565610274,-3.98836684873374,1.48545372667894,0.3694910485092,0.418291753029283,FALSE,565,1.39335773919565,-0.898158833028644,"DiseaseGroupHealthy_Obese","Hannum_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Hannum","Healthy","MASH","MASH vs Healthy",-2.91917352274034,-4.69743270697863,-1.14091433850204,0.00133624426106902,0.00276464329876349,TRUE,565,0.905309614196615,-3.22450295121504,"DiseaseGroupMASH","Hannum_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Hannum","Healthy","MASL","MASL vs Healthy",-1.53968036799529,-3.46730911399707,0.387948378006496,0.117233912561188,0.147472138471198,FALSE,565,0.981353478629541,-1.56893555841413,"DiseaseGroupMASL","Hannum_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","Hannum","Healthy","Mild_Fibrosis","Mild_Fibrosis vs Healthy",-1.0766507791487,-4.34689488323066,2.19359332493326,0.518103822489994,0.565204169989084,FALSE,565,1.66487734433569,-0.646684743961304,"DiseaseGroupMild_Fibrosis","Hannum_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","PhenoAge","Healthy","Advanced_Fibrosis","Advanced_Fibrosis vs Healthy",8.85327321965186,5.21694611936842,12.4896003199353,2.22415971450473e-06,1.02653525284834e-05,TRUE,565,1.85124975786947,4.78232241868906,"DiseaseGroupAdvanced_Fibrosis","PhenoAge_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","PhenoAge","Healthy","Healthy_Obese","Healthy_Obese vs Healthy",4.36528856205786,0.899623089944716,7.830954034171,0.0136542151326321,0.023407225941655,TRUE,565,1.7643661280103,2.47413985836412,"DiseaseGroupHealthy_Obese","PhenoAge_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","PhenoAge","Healthy","MASH","MASH vs Healthy",7.66416459531189,5.41240958420866,9.91591960641512,5.62340155415951e-11,6.74808186499141e-10,TRUE,565,1.14636577076944,6.6856188406321,"DiseaseGroupMASH","PhenoAge_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","PhenoAge","Healthy","MASL","MASL vs Healthy",5.08939613103828,2.6484990296321,7.53029323244445,4.83959490875921e-05,0.000145187847262776,TRUE,565,1.24265778169688,4.09557337989594,"DiseaseGroupMASL","PhenoAge_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","PhenoAge","Healthy","Mild_Fibrosis","Mild_Fibrosis vs Healthy",5.42593640186255,1.28492669182324,9.56694611190186,0.0103190862916918,0.0187619750758033,TRUE,565,2.10818306814253,2.57375010920812,"DiseaseGroupMild_Fibrosis","PhenoAge_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
"primary","Raw/pre-ComBat","Raw betas","DiseaseGroup","GrimAgeV1","Healthy","Advanced_Fibrosis","Advanced_Fibrosis vs Healthy",2.32313240176302,0.92392571387592,3.72233908965012,0.00117723114318607,0.00260049213423373,TRUE,565,0.712334443718892,3.26129449761634,"DiseaseGroupAdvanced_Fibrosis","GrimAgeV1_EAA_resid ~ DiseaseGroup + Sex + Dataset","Sex + Dataset","Global clock-age residuals within each matrix: lm(Clock ~ Age)"
