"Clock","Correction","matrix","analysis_role","comparison","n","beta_no_BMI","conf_low_no_BMI","conf_high_no_BMI","p_value_no_BMI","BH_no_BMI","beta_BMI_adjusted","conf_low_BMI_adjusted","conf_high_BMI_adjusted","p_value_BMI_adjusted","BH_BMI_adjusted","beta_change_BMI_minus_no_BMI","relative_beta_change_percent","direction_concordant","FDR_status_change","Healthy_Obese_BMI_n","Healthy_Obese_BMI_mean","Healthy_Obese_BMI_SD","Healthy_Obese_BMI_median","Healthy_Obese_BMI_IQR","Advanced_Fibrosis_BMI_n","Advanced_Fibrosis_BMI_mean","Advanced_Fibrosis_BMI_SD","Advanced_Fibrosis_BMI_median","Advanced_Fibrosis_BMI_IQR","note"
"Horvath1","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,4.23655773048589,3.2710579548167,5.20205750615508,2.80983221068414e-16,5.61966442136828e-16,4.03021192597469,3.11706295452312,4.94336089742626,1.98361579992569e-16,3.96723159985138e-16,-0.206345804511201,-4.87060055918406,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Horvath2","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,-2.73074421920754,-4.15664446560257,-1.30484397281251,0.000195898324762071,0.000235077989714485,-2.83367819116257,-4.25606348028071,-1.41129290204442,0.000108522178971304,0.000130226614765564,-0.102933971955028,-3.76944758249453,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Hannum","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,-4.91182225537567,-5.91600875893249,-3.90763575181886,1.97088884930824e-19,5.91266654792472e-19,-4.88979217036318,-5.89740344714062,-3.88218089358574,3.53603109203571e-19,1.06080932761071e-18,0.0220300850124957,0.448511445795604,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PhenoAge","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,4.4900649918059,3.16602990256145,5.81410008105035,1.10393018155751e-10,1.89245173981287e-10,4.28920997195422,2.99813742011886,5.58028252378958,2.48186488940097e-10,4.25462552468738e-10,-0.200855019851681,-4.47332099241836,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"GrimAgeV1","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,1.55269454382729,0.957352461899897,2.14803662575468,4.99105071069629e-07,7.48657606604444e-07,1.48271418046467,0.895257541994866,2.07017081893448,1.11468425037596e-06,1.48624566716794e-06,-0.0699803633626146,-4.50702706728895,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHannum","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,-0.329785036736252,-1.35585984110257,0.69628976763007,0.527627914804146,0.527627914804146,-0.430014852984717,-1.44800906782298,0.587979361853543,0.406563508337985,0.406563508337985,-0.100229816248465,-30.3924693613752,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHorvath1","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,6.63352681468321,5.48727750984426,7.77977611952217,1.82208760660254e-25,1.09325256396152e-24,6.42244692435289,5.32077027064501,7.52412357806078,9.41821092213957e-26,5.65092655328374e-25,-0.211079890330321,-3.18201608627102,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCHorvath2","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,7.31991640501836,6.00261133280919,8.63722147722753,7.19729096717793e-24,2.87891638687117e-23,7.13211192339808,5.84309802424084,8.42112582255531,1.07011412365226e-23,4.28045649460906e-23,-0.187804481620287,-2.56566429490277,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCPhenoAge","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,-3.4286808951149,-4.75790044679045,-2.09946134343935,6.57181804610306e-07,8.76242406147075e-07,-3.502014304158,-4.83154176423526,-2.17248684408075,3.88553649193771e-07,5.82830473790657e-07,-0.0733334090431059,-2.13882280930808,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"PCGrimAge","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,0.383378487686243,0.0996512140674334,0.667105761305052,0.00824484179202286,0.00899437286402494,0.367779596466284,0.0839791505869201,0.651580042345647,0.0112508634730045,0.0122736692432776,-0.0155988912199591,-4.06879669073273,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"HepClock","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,4.53950545777847,3.8161365029328,5.26287441262413,6.20631376004745e-29,7.44757651205694e-28,4.52264412836342,3.7968637172972,5.24842453942964,1.33012108181167e-28,1.596145298174e-27,-0.0168613294150477,-0.371435381494161,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"LiverClock","Raw betas","Raw/pre-ComBat","primary","Advanced_Fibrosis vs Healthy_Obese",325,2.74892084225247,2.12907300407362,3.36876868043132,1.45637843310801e-16,3.49530823945922e-16,2.75540722032676,2.13316003272523,3.3776544079283,1.61578184270182e-16,3.87787642248438e-16,0.00648637807429564,0.235960889618804,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Horvath1","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,4.31757464022082,3.19146348730069,5.44368579314095,4.73284647638364e-13,1.13588315433207e-12,4.1267618958585,3.03689556133123,5.21662823038577,8.73875728457319e-13,2.09730174829757e-12,-0.190812744362317,-4.41944286463008,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Horvath2","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-2.68239440640354,-4.36947589590924,-0.995312916897839,0.001920613000504,0.00230473560060481,-2.77478858928269,-4.46235411838453,-1.08722306018085,0.00134370571363899,0.00161244685636679,-0.0923941828791515,-3.44446672937371,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
"Hannum","ComBat betas","ComBat","sensitivity","Advanced_Fibrosis vs Healthy_Obese",325,-4.66060707542405,-5.80807634762264,-3.51313780322546,2.41523768275872e-14,7.24571304827616e-14,-4.61661314752983,-5.7665898812477,-3.46663641381195,4.54451398309089e-14,1.36335419492727e-13,0.0439939278942232,0.943952733673013,TRUE,"unchanged",210,46.5123106470476,8.70405060086332,44.03179189,10.0413083408333,115,48.0450107389565,9.64678324748727,46.251776,12.1818532966667,NA
