"analysis_role","matrix","Correction","Clock","coverage_source","clock_family","included_in_inference","clock_function","TotalProbes","ProbesAvailable","missing_probe_count","PercentProbesAvailable","clock_value_nonmissing_n","eaa_resid_nonmissing_n","missing_cpg_strategy","absent_cpg_action","present_na_action","score_implication","implementation_evidence","clock_handling","exclusion_reason","matrix_probe_set_note"
"primary","Raw/pre-ComBat","Raw betas","GrimAgeV1","GrimAge1","methylCIPHER clock",TRUE,"methylCIPHER::calcGrimAgeV1()",1139,859,280,75,565,565,"zero_fill_absent_cpgs","CpGs absent from the common beta matrix are added as 0-valued beta columns via methylCIPHER::impute_DNAm(CpGs = zero_cpgs(...)) before GrimAge submodel scoring.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","GrimAge submodels are scored after zero-filling CpGs not present in the common matrix.","Local methylCIPHER 0.2.0 code path: calcGrimAgeV1/V2 calls impute_DNAm(method = 'mean', CpGs = zero_cpgs(CpGs_GrimAge1/2), subset = TRUE).","Calculated with methylCIPHER GrimAge function; absent GrimAge CpGs were added as 0-valued beta columns internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","GrimAgeV1","GrimAge1","methylCIPHER clock",TRUE,"methylCIPHER::calcGrimAgeV1()",1139,859,280,75,565,565,"zero_fill_absent_cpgs","CpGs absent from the common beta matrix are added as 0-valued beta columns via methylCIPHER::impute_DNAm(CpGs = zero_cpgs(...)) before GrimAge submodel scoring.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","GrimAge submodels are scored after zero-filling CpGs not present in the common matrix.","Local methylCIPHER 0.2.0 code path: calcGrimAgeV1/V2 calls impute_DNAm(method = 'mean', CpGs = zero_cpgs(CpGs_GrimAge1/2), subset = TRUE).","Calculated with methylCIPHER GrimAge function; absent GrimAge CpGs were added as 0-valued beta columns internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","Hannum","Hannum","methylCIPHER clock",TRUE,"methylCIPHER::calcHannum(imputation = FALSE)",71,60,11,85,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","Hannum","Hannum","methylCIPHER clock",TRUE,"methylCIPHER::calcHannum(imputation = FALSE)",71,60,11,85,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","HepClock","HepClock","CTS tissue-specific clock",TRUE,"CTSclocks::CTSclockAge(CTSclock = 'Hep')",16957,15731,1226,92.7699475143009,565,565,"available_cpg_glmnet_prediction_no_imputation","CTSclockAge matches clock CpGs to rownames(data.m), drops unmatched CpG rows and glmnet coefficients, updates the model dimension, and predicts on the available CpGs only.","CTSclockAge does not perform explicit NA imputation for Hep/Liver clocks; the pipeline input matrices contained no NAs after preprocessing.","CTS-clock predictions use a reduced glmnet coefficient/input matrix over available CpGs, with the retained model intercept.","Local CTSclocks 0.0.1 code path: idx <- match(ClockCpGs.v, rownames(data.m)); beta <- beta[!is.na(idx), ]; data.m <- data.m[na.omit(idx), ]; predict.glmnet(...).","Calculated with CTSclocks::CTSclockAge on the common-CpG beta matrix; absent CpGs were dropped internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","HepClock","HepClock","CTS tissue-specific clock",TRUE,"CTSclocks::CTSclockAge(CTSclock = 'Hep')",16957,15731,1226,92.7699475143009,565,565,"available_cpg_glmnet_prediction_no_imputation","CTSclockAge matches clock CpGs to rownames(data.m), drops unmatched CpG rows and glmnet coefficients, updates the model dimension, and predicts on the available CpGs only.","CTSclockAge does not perform explicit NA imputation for Hep/Liver clocks; the pipeline input matrices contained no NAs after preprocessing.","CTS-clock predictions use a reduced glmnet coefficient/input matrix over available CpGs, with the retained model intercept.","Local CTSclocks 0.0.1 code path: idx <- match(ClockCpGs.v, rownames(data.m)); beta <- beta[!is.na(idx), ]; data.m <- data.m[na.omit(idx), ]; predict.glmnet(...).","Calculated with CTSclocks::CTSclockAge on the common-CpG beta matrix; absent CpGs were dropped internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","Horvath1","Horvath1","methylCIPHER clock",TRUE,"methylCIPHER::calcHorvath1(imputation = FALSE)",353,327,26,93,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","Horvath1","Horvath1","methylCIPHER clock",TRUE,"methylCIPHER::calcHorvath1(imputation = FALSE)",353,327,26,93,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","Horvath2","Horvath2","methylCIPHER clock",TRUE,"methylCIPHER::calcHorvath2(imputation = FALSE)",391,379,12,97,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","Horvath2","Horvath2","methylCIPHER clock",TRUE,"methylCIPHER::calcHorvath2(imputation = FALSE)",391,379,12,97,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
