"analysis_role","matrix","Correction","Clock","residualization_scope","comparison","beta","ci_lower","ci_upper","p_value","q_value","fdr_significant","n_age_residualization","n_model_samples","std_error","statistic","model","covariates"
"primary","Raw/pre-ComBat","Raw betas","Horvath1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.23655773048589,3.2710579548167,5.20205750615508,2.80983221068414e-16,5.61966442136828e-16,TRUE,565,325,0.490759428846486,8.63265682015277,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","Horvath1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.35594361993762,3.40407134124422,5.30781589863103,1.95938774488765e-17,4.70253058773035e-17,TRUE,325,325,0.483832630103514,9.00299679871877,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","Horvath2","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-2.73074421920754,-4.15664446560257,-1.30484397281251,0.000195898324762071,0.000235077989714485,TRUE,565,325,0.724779029625227,-3.76769209316054,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","Horvath2","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-3.01662857069237,-4.41601660633122,-1.61724053505351,2.9117300024126e-05,3.49407600289512e-05,TRUE,325,325,0.711302985677789,-4.24098960841261,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","Hannum","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-4.91182225537567,-5.91600875893249,-3.90763575181886,1.97088884930824e-19,5.91266654792472e-19,TRUE,565,325,0.510423728062827,-9.6230288392296,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","Hannum","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-5.00742057074893,-6.0032252659802,-4.01161587551766,2.52937148062904e-20,7.58811444188712e-20,TRUE,325,325,0.506163290546212,-9.8928955621126,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PhenoAge","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.4900649918059,3.16602990256145,5.81410008105035,1.10393018155751e-10,1.89245173981287e-10,TRUE,565,325,0.67300140356837,6.67170226985977,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PhenoAge","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",4.63379495331462,3.32293844275393,5.94465146387531,1.97974088553626e-11,3.39384151806216e-11,TRUE,325,325,0.666302788083589,6.95448831400252,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","GrimAgeV1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",1.55269454382729,0.957352461899897,2.14803662575468,4.99105071069629e-07,7.48657606604444e-07,TRUE,565,325,0.302609847726232,5.13101128563402,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","GrimAgeV1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",1.44455524968453,0.847002097767802,2.04210840160126,2.98431782518453e-06,3.97909043357937e-06,TRUE,325,325,0.303733725196172,4.75599227168975,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PCHannum","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-0.329785036736252,-1.35585984110257,0.69628976763007,0.527627914804146,0.527627914804146,FALSE,565,325,0.521549458253961,-0.632317858866739,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PCHannum","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",-0.613114473103793,-1.61672449269825,0.39049554649066,0.230294265243819,0.230294265243819,FALSE,325,325,0.510130703717057,-1.20187722212434,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PCHorvath1","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",6.63352681468321,5.48727750984426,7.77977611952217,1.82208760660254e-25,1.09325256396152e-24,TRUE,565,325,0.582633645635553,11.3854166582625,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PCHorvath1","johnson_only_age_residuals","Advanced_Fibrosis vs Healthy_Obese",6.31804974105392,5.17019832449939,7.46590115760845,1.64796333452491e-23,9.88778000714949e-23,TRUE,325,325,0.583447992205379,10.8288139225097,"rEAA ~ FibrosisGroup + Sex","Sex"
"primary","Raw/pre-ComBat","Raw betas","PCHorvath2","global_age_residuals","Advanced_Fibrosis vs Healthy_Obese",7.31991640501836,6.00261133280919,8.63722147722753,7.19729096717793e-24,2.87891638687117e-23,TRUE,565,325,0.669580564538066,10.9320921076439,"rEAA ~ FibrosisGroup + Sex","Sex"
