"Dataset","Biological_Sample_ID","Technical_Replicate_Group","Source_Profile_IDs","n_technical_profiles"
"Johnson","Johnson_individual_11",11,"GSM5463247",1
"Johnson","Johnson_individual_12",12,"GSM5463248",1
"Johnson","Johnson_individual_13",13,"GSM5463249",1
"Johnson","Johnson_individual_14",14,"GSM5463250",1
"Johnson","Johnson_individual_15",15,"GSM5463251",1
"Johnson","Johnson_individual_16",16,"GSM5463252",1
"Johnson","Johnson_individual_17",17,"GSM5463253",1
"Johnson","Johnson_individual_18",18,"GSM5463254",1
"Johnson","Johnson_individual_19",19,"GSM5463255",1
"Johnson","Johnson_individual_20",20,"GSM5463256",1
"Johnson","Johnson_individual_21",21,"GSM5463257",1
"Johnson","Johnson_individual_22",22,"GSM5463258",1
"Johnson","Johnson_individual_23",23,"GSM5463259",1
"Johnson","Johnson_individual_24",24,"GSM5463260",1
"Johnson","Johnson_individual_25",25,"GSM5463261",1
"Johnson","Johnson_individual_26",26,"GSM5463262",1
"Johnson","Johnson_individual_27",27,"GSM5463263",1
"Johnson","Johnson_individual_28",28,"GSM5463264",1
"Johnson","Johnson_individual_6",6,"GSM5463265;GSM5463571",2
"Johnson","Johnson_individual_29",29,"GSM5463266",1
"Johnson","Johnson_individual_30",30,"GSM5463267",1
"Johnson","Johnson_individual_31",31,"GSM5463268",1
"Johnson","Johnson_individual_32",32,"GSM5463269",1
"Johnson","Johnson_individual_33",33,"GSM5463270",1
"Johnson","Johnson_individual_34",34,"GSM5463271",1
"Johnson","Johnson_individual_35",35,"GSM5463272",1
"Johnson","Johnson_individual_36",36,"GSM5463273",1
"Johnson","Johnson_individual_37",37,"GSM5463274",1
"Johnson","Johnson_individual_8",8,"GSM5463275;GSM5463415",2
"Johnson","Johnson_individual_38",38,"GSM5463276",1
"Johnson","Johnson_individual_39",39,"GSM5463277",1
"Johnson","Johnson_individual_40",40,"GSM5463278",1
"Johnson","Johnson_individual_41",41,"GSM5463279",1
"Johnson","Johnson_individual_42",42,"GSM5463280",1
"Johnson","Johnson_individual_4",4,"GSM5463281;GSM5463486",2
"Johnson","Johnson_individual_43",43,"GSM5463282",1
"Johnson","Johnson_individual_44",44,"GSM5463283",1
"Johnson","Johnson_individual_45",45,"GSM5463284",1
"Johnson","Johnson_individual_46",46,"GSM5463285",1
"Johnson","Johnson_individual_47",47,"GSM5463286",1
"Johnson","Johnson_individual_48",48,"GSM5463287",1
"Johnson","Johnson_individual_49",49,"GSM5463288",1
"Johnson","Johnson_individual_50",50,"GSM5463289",1
"Johnson","Johnson_individual_51",51,"GSM5463290",1
"Johnson","Johnson_individual_52",52,"GSM5463291",1
"Johnson","Johnson_individual_53",53,"GSM5463292",1
"Johnson","Johnson_individual_54",54,"GSM5463293",1
"Johnson","Johnson_individual_55",55,"GSM5463294",1
"Johnson","Johnson_individual_56",56,"GSM5463295",1
"Johnson","Johnson_individual_57",57,"GSM5463296",1
"Johnson","Johnson_individual_58",58,"GSM5463297",1
"Johnson","Johnson_individual_59",59,"GSM5463298",1
"Johnson","Johnson_individual_60",60,"GSM5463299",1
"Johnson","Johnson_individual_61",61,"GSM5463300",1
"Johnson","Johnson_individual_10",10,"GSM5463301;GSM5463320;GSM5463440;GSM5463448;GSM5463474;GSM5463487;GSM5463498;GSM5463574",8
"Johnson","Johnson_individual_62",62,"GSM5463302",1
"Johnson","Johnson_individual_63",63,"GSM5463303",1
"Johnson","Johnson_individual_64",64,"GSM5463304",1
"Johnson","Johnson_individual_65",65,"GSM5463305",1
"Johnson","Johnson_individual_66",66,"GSM5463306",1
"Johnson","Johnson_individual_9",9,"GSM5463307;GSM5463374",2
"Johnson","Johnson_individual_67",67,"GSM5463308",1
"Johnson","Johnson_individual_68",68,"GSM5463309",1
"Johnson","Johnson_individual_69",69,"GSM5463310",1
"Johnson","Johnson_individual_70",70,"GSM5463311",1
"Johnson","Johnson_individual_71",71,"GSM5463312",1
"Johnson","Johnson_individual_72",72,"GSM5463313",1
"Johnson","Johnson_individual_73",73,"GSM5463314",1
"Johnson","Johnson_individual_74",74,"GSM5463315",1
"Johnson","Johnson_individual_75",75,"GSM5463316",1
"Johnson","Johnson_individual_76",76,"GSM5463317",1
"Johnson","Johnson_individual_77",77,"GSM5463318",1
"Johnson","Johnson_individual_78",78,"GSM5463319",1
"Johnson","Johnson_individual_79",79,"GSM5463321",1
"Johnson","Johnson_individual_80",80,"GSM5463322",1
"Johnson","Johnson_individual_81",81,"GSM5463323",1
"Johnson","Johnson_individual_1",1,"GSM5463324;GSM5463383",2
"Johnson","Johnson_individual_82",82,"GSM5463325",1
"Johnson","Johnson_individual_83",83,"GSM5463326",1
"Johnson","Johnson_individual_84",84,"GSM5463327",1
"Johnson","Johnson_individual_85",85,"GSM5463328",1
"Johnson","Johnson_individual_86",86,"GSM5463329",1
"Johnson","Johnson_individual_87",87,"GSM5463330",1
"Johnson","Johnson_individual_88",88,"GSM5463331",1
"Johnson","Johnson_individual_89",89,"GSM5463332",1
"Johnson","Johnson_individual_90",90,"GSM5463333",1
"Johnson","Johnson_individual_91",91,"GSM5463334",1
"Johnson","Johnson_individual_92",92,"GSM5463335",1
"Johnson","Johnson_individual_93",93,"GSM5463336",1
"Johnson","Johnson_individual_94",94,"GSM5463337",1
"Johnson","Johnson_individual_95",95,"GSM5463338",1
"Johnson","Johnson_individual_96",96,"GSM5463339",1
"Johnson","Johnson_individual_97",97,"GSM5463340",1
"Johnson","Johnson_individual_98",98,"GSM5463341",1
"Johnson","Johnson_individual_99",99,"GSM5463342",1
"Johnson","Johnson_individual_100",100,"GSM5463343",1
"Johnson","Johnson_individual_101",101,"GSM5463344",1
"Johnson","Johnson_individual_102",102,"GSM5463345",1
"Johnson","Johnson_individual_103",103,"GSM5463346",1
"Johnson","Johnson_individual_104",104,"GSM5463347",1
"Johnson","Johnson_individual_105",105,"GSM5463348",1
"Johnson","Johnson_individual_106",106,"GSM5463349",1
"Johnson","Johnson_individual_107",107,"GSM5463350",1
"Johnson","Johnson_individual_108",108,"GSM5463351",1
"Johnson","Johnson_individual_109",109,"GSM5463352",1
"Johnson","Johnson_individual_110",110,"GSM5463353",1
"Johnson","Johnson_individual_111",111,"GSM5463354",1
"Johnson","Johnson_individual_112",112,"GSM5463355",1
"Johnson","Johnson_individual_113",113,"GSM5463356",1
"Johnson","Johnson_individual_114",114,"GSM5463357",1
"Johnson","Johnson_individual_115",115,"GSM5463358",1
"Johnson","Johnson_individual_116",116,"GSM5463359",1
"Johnson","Johnson_individual_117",117,"GSM5463360",1
"Johnson","Johnson_individual_118",118,"GSM5463361",1
"Johnson","Johnson_individual_119",119,"GSM5463362",1
"Johnson","Johnson_individual_120",120,"GSM5463363",1
"Johnson","Johnson_individual_121",121,"GSM5463364",1
"Johnson","Johnson_individual_122",122,"GSM5463365",1
"Johnson","Johnson_individual_123",123,"GSM5463366",1
"Johnson","Johnson_individual_124",124,"GSM5463367",1
"Johnson","Johnson_individual_125",125,"GSM5463368",1
"Johnson","Johnson_individual_126",126,"GSM5463369",1
"Johnson","Johnson_individual_127",127,"GSM5463370",1
"Johnson","Johnson_individual_128",128,"GSM5463371",1
"Johnson","Johnson_individual_129",129,"GSM5463372",1
"Johnson","Johnson_individual_130",130,"GSM5463373",1
"Johnson","Johnson_individual_3",3,"GSM5463375;GSM5463529",2
"Johnson","Johnson_individual_131",131,"GSM5463376",1
"Johnson","Johnson_individual_132",132,"GSM5463377",1
"Johnson","Johnson_individual_133",133,"GSM5463378",1
"Johnson","Johnson_individual_134",134,"GSM5463379",1
"Johnson","Johnson_individual_135",135,"GSM5463380",1
"Johnson","Johnson_individual_136",136,"GSM5463381",1
"Johnson","Johnson_individual_137",137,"GSM5463382",1
"Johnson","Johnson_individual_138",138,"GSM5463384",1
"Johnson","Johnson_individual_139",139,"GSM5463385",1
"Johnson","Johnson_individual_140",140,"GSM5463386",1
"Johnson","Johnson_individual_141",141,"GSM5463387",1
"Johnson","Johnson_individual_142",142,"GSM5463388",1
"Johnson","Johnson_individual_143",143,"GSM5463389",1
"Johnson","Johnson_individual_144",144,"GSM5463390",1
"Johnson","Johnson_individual_145",145,"GSM5463391",1
"Johnson","Johnson_individual_146",146,"GSM5463392",1
"Johnson","Johnson_individual_147",147,"GSM5463393",1
"Johnson","Johnson_individual_148",148,"GSM5463394",1
"Johnson","Johnson_individual_149",149,"GSM5463395",1
"Johnson","Johnson_individual_2",2,"GSM5463396;GSM5463525",2
"Johnson","Johnson_individual_150",150,"GSM5463397",1
"Johnson","Johnson_individual_151",151,"GSM5463398",1
"Johnson","Johnson_individual_152",152,"GSM5463399",1
"Johnson","Johnson_individual_153",153,"GSM5463400",1
"Johnson","Johnson_individual_154",154,"GSM5463401",1
"Johnson","Johnson_individual_155",155,"GSM5463402",1
"Johnson","Johnson_individual_156",156,"GSM5463403",1
"Johnson","Johnson_individual_157",157,"GSM5463404",1
"Johnson","Johnson_individual_158",158,"GSM5463405",1
"Johnson","Johnson_individual_159",159,"GSM5463406",1
"Johnson","Johnson_individual_160",160,"GSM5463407",1
"Johnson","Johnson_individual_161",161,"GSM5463408",1
"Johnson","Johnson_individual_162",162,"GSM5463409",1
"Johnson","Johnson_individual_163",163,"GSM5463410",1
"Johnson","Johnson_individual_164",164,"GSM5463411",1
"Johnson","Johnson_individual_165",165,"GSM5463412",1
"Johnson","Johnson_individual_166",166,"GSM5463413",1
"Johnson","Johnson_individual_167",167,"GSM5463414",1
"Johnson","Johnson_individual_168",168,"GSM5463416",1
"Johnson","Johnson_individual_169",169,"GSM5463417",1
"Johnson","Johnson_individual_170",170,"GSM5463418",1
"Johnson","Johnson_individual_171",171,"GSM5463419",1
