Correction,bin_midpoint,count,sampled_values
Raw,0.005,99441,2000000
Raw,0.015,165210,2000000
Raw,0.025,123175,2000000
Raw,0.035,77215,2000000
Raw,0.045,51709,2000000
Raw,0.055,37338,2000000
Raw,0.065,29422,2000000
Raw,0.07500000000000001,23753,2000000
Raw,0.08499999999999999,19637,2000000
Raw,0.095,17090,2000000
Raw,0.10500000000000001,14912,2000000
Raw,0.11499999999999999,13536,2000000
Raw,0.125,12322,2000000
Raw,0.135,11257,2000000
Raw,0.14500000000000002,10314,2000000
Raw,0.155,9560,2000000
Raw,0.165,9093,2000000
Raw,0.175,8757,2000000
Raw,0.185,8310,2000000
Raw,0.195,7958,2000000
Raw,0.20500000000000002,7842,2000000
Raw,0.215,7711,2000000
Raw,0.225,7657,2000000
Raw,0.235,7320,2000000
Raw,0.245,7312,2000000
Raw,0.255,7288,2000000
Raw,0.265,7182,2000000
Raw,0.275,7139,2000000
Raw,0.28500000000000003,7232,2000000
Raw,0.295,7021,2000000
Raw,0.305,7161,2000000
Raw,0.315,7157,2000000
Raw,0.325,7203,2000000
Raw,0.335,7063,2000000
Raw,0.34500000000000003,7088,2000000
Raw,0.355,7148,2000000
Raw,0.365,7234,2000000
Raw,0.375,7289,2000000
Raw,0.385,7225,2000000
Raw,0.395,7508,2000000
Raw,0.405,7370,2000000
Raw,0.41500000000000004,7451,2000000
Raw,0.425,7539,2000000
Raw,0.435,7617,2000000
Raw,0.445,7801,2000000
Raw,0.455,7795,2000000
Raw,0.465,7662,2000000
Raw,0.475,7912,2000000
Raw,0.485,8050,2000000
Raw,0.495,7995,2000000
Raw,0.505,8178,2000000
Raw,0.515,8231,2000000
Raw,0.525,8402,2000000
Raw,0.535,8521,2000000
Raw,0.545,8639,2000000
Raw,0.555,8626,2000000
Raw,0.5650000000000001,8918,2000000
Raw,0.575,9106,2000000
Raw,0.585,9211,2000000
Raw,0.595,9228,2000000
Raw,0.605,9211,2000000
Raw,0.615,9630,2000000
Raw,0.625,9845,2000000
Raw,0.635,9924,2000000
Raw,0.645,10147,2000000
Raw,0.655,10262,2000000
Raw,0.665,10575,2000000
Raw,0.675,11147,2000000
Raw,0.685,11440,2000000
Raw,0.6950000000000001,11567,2000000
Raw,0.7050000000000001,11938,2000000
Raw,0.715,12145,2000000
Raw,0.725,12534,2000000
Raw,0.735,12606,2000000
Raw,0.745,13375,2000000
Raw,0.755,13747,2000000
Raw,0.765,14078,2000000
Raw,0.775,14778,2000000
Raw,0.785,15227,2000000
Raw,0.795,15941,2000000
Raw,0.805,16617,2000000
Raw,0.8150000000000001,17347,2000000
Raw,0.8250000000000001,18164,2000000
Raw,0.835,18967,2000000
Raw,0.845,19741,2000000
Raw,0.855,21299,2000000
Raw,0.865,22221,2000000
Raw,0.875,23674,2000000
Raw,0.885,25250,2000000
Raw,0.895,27298,2000000
Raw,0.905,30771,2000000
Raw,0.915,37767,2000000
Raw,0.925,44922,2000000
Raw,0.935,52778,2000000
Raw,0.9450000000000001,59718,2000000
Raw,0.9550000000000001,67212,2000000
Raw,0.965,72694,2000000
Raw,0.975,71403,2000000
Raw,0.985,45845,2000000
Raw,0.995,6154,2000000
ComBat,0.005,113254,2000000
ComBat,0.015,162679,2000000
ComBat,0.025,119938,2000000
ComBat,0.035,75640,2000000
ComBat,0.045,50643,2000000
ComBat,0.055,36126,2000000
ComBat,0.065,27845,2000000
ComBat,0.07500000000000001,22914,2000000
ComBat,0.08499999999999999,19367,2000000
ComBat,0.095,16703,2000000
ComBat,0.10500000000000001,14737,2000000
ComBat,0.11499999999999999,13594,2000000
ComBat,0.125,12401,2000000
ComBat,0.135,11189,2000000
ComBat,0.14500000000000002,10378,2000000
ComBat,0.155,9899,2000000
ComBat,0.165,9213,2000000
ComBat,0.175,8645,2000000
ComBat,0.185,8278,2000000
ComBat,0.195,7873,2000000
ComBat,0.20500000000000002,7844,2000000
ComBat,0.215,7500,2000000
ComBat,0.225,7431,2000000
ComBat,0.235,7152,2000000
ComBat,0.245,7143,2000000
ComBat,0.255,7233,2000000
ComBat,0.265,7100,2000000
ComBat,0.275,7087,2000000
ComBat,0.28500000000000003,7055,2000000
ComBat,0.295,7016,2000000
ComBat,0.305,7029,2000000
ComBat,0.315,7111,2000000
ComBat,0.325,7173,2000000
ComBat,0.335,7128,2000000
ComBat,0.34500000000000003,7026,2000000
ComBat,0.355,7296,2000000
ComBat,0.365,7108,2000000
ComBat,0.375,7111,2000000
ComBat,0.385,7288,2000000
ComBat,0.395,7174,2000000
ComBat,0.405,7285,2000000
