Correction,PC,variance_explained
Raw,PC1,0.2931539080752299
Raw,PC2,0.17699774814736016
Raw,PC3,0.051487698563822355
Raw,PC4,0.04611030319753608
Raw,PC5,0.026951658373985752
Raw,PC6,0.01738903922910029
Raw,PC7,0.016319329684671778
Raw,PC8,0.01169807822004196
Raw,PC9,0.009230215129992989
Raw,PC10,0.0084778807533577
ComBat,PC1,0.3343322797633074
ComBat,PC2,0.057331798581459335
ComBat,PC3,0.04653614013578381
ComBat,PC4,0.03469973969755821
ComBat,PC5,0.015758767690382897
ComBat,PC6,0.014802620729455115
ComBat,PC7,0.012365227312168051
ComBat,PC8,0.00979638506471081
ComBat,PC9,0.008156258028689556
ComBat,PC10,0.007766403642399093
