Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
ComBat,DiseaseGroup,Advanced fibrosis,Horvath1,120,4.24,4.98,4.03,1,7.25,-9.82,17.14
ComBat,DiseaseGroup,Healthy,Horvath1,74,-5.89,6.26,-6.23,-10.01,-2.27,-23.95,9.98
ComBat,DiseaseGroup,Healthy obese,Horvath1,228,-0.6,5.2,-0.71,-4.08,2.82,-15.11,12.57
ComBat,DiseaseGroup,MASH,Horvath1,79,0.63,5.54,0.54,-2.57,3.66,-15.47,24.43
ComBat,DiseaseGroup,MASL,Horvath1,50,-0.8,6.78,-0.69,-4.45,3.07,-15.79,20.07
ComBat,DiseaseGroup,Mild fibrosis,Horvath1,14,3.91,9.72,2.9,-2.57,9.15,-10.72,22.13
ComBat,DiseaseGroup,Advanced fibrosis,PCHorvath1,120,5.35,4.82,5.62,2.15,8.17,-10.31,17.71
ComBat,DiseaseGroup,Healthy,PCHorvath1,74,-6.82,5.04,-6.68,-9.84,-3.58,-19.92,6.1
ComBat,DiseaseGroup,Healthy obese,PCHorvath1,228,-1.24,6.29,-1.27,-5.6,2.97,-16.2,14.57
ComBat,DiseaseGroup,MASH,PCHorvath1,79,2.04,5.43,1.71,-1.78,5.3,-8.07,22.21
ComBat,DiseaseGroup,MASL,PCHorvath1,50,-1.58,7.51,-0.25,-6.53,4.3,-22.63,10.06
ComBat,DiseaseGroup,Mild fibrosis,PCHorvath1,14,4.58,8.34,5.78,0.38,7.81,-8.54,16.94
ComBat,DiseaseGroup,Advanced fibrosis,Horvath2,120,-0.2,7.13,0.1,-5.43,4.41,-18.83,21.18
ComBat,DiseaseGroup,Healthy,Horvath2,74,-3.58,7.88,-2.97,-8.11,2.67,-26.15,13.81
ComBat,DiseaseGroup,Healthy obese,Horvath2,228,2.52,7.36,2.87,-2.75,7.37,-20.03,19.98
ComBat,DiseaseGroup,MASH,Horvath2,79,-2.65,8.52,-2.24,-7.71,3.48,-24.08,14.63
ComBat,DiseaseGroup,MASL,Horvath2,50,-2.14,12.88,1.87,-7.41,4.79,-68.24,14.65
ComBat,DiseaseGroup,Mild fibrosis,Horvath2,14,2.21,7.15,2.39,-3.54,7.57,-9.06,13.71
ComBat,DiseaseGroup,Advanced fibrosis,PCHorvath2,120,5.33,5.29,5.76,2.23,8.31,-12.56,19.82
ComBat,DiseaseGroup,Healthy,PCHorvath2,74,-7.27,5.93,-7.59,-10.21,-3.92,-20.84,6.94
ComBat,DiseaseGroup,Healthy obese,PCHorvath2,228,-1.71,7.16,-1.52,-6.89,3.24,-19.76,16.6
ComBat,DiseaseGroup,MASH,PCHorvath2,79,2.9,5.44,3.41,-1.04,6.41,-9.84,16.42
ComBat,DiseaseGroup,MASL,PCHorvath2,50,-0.19,9.38,0.56,-5.81,4.67,-22.32,27.31
ComBat,DiseaseGroup,Mild fibrosis,PCHorvath2,14,4.96,10.03,4.92,0.35,10.44,-11.47,26.05
ComBat,DiseaseGroup,Advanced fibrosis,Hannum,120,-2.06,5.38,-2.42,-5.35,1.18,-13.21,17.98
ComBat,DiseaseGroup,Healthy,Hannum,74,-0.04,6.04,0.83,-3.39,4.23,-17.81,10.76
ComBat,DiseaseGroup,Healthy obese,Hannum,228,2.39,4.74,2.24,-0.48,5.43,-15.52,15.61
ComBat,DiseaseGroup,MASH,Hannum,79,-3.2,7.52,-1.26,-7.74,1.69,-26.22,9.8
