statistical_rank,cpg,candidate_priority_score,robust_contrasts,tier1_contrasts,tier2_contrasts,tier3_contrasts,same_direction_contrasts,max_n_datasets,all_datasets_seen,best_fdr,best_neg_log10_fdr,max_abs_meta_effect,mean_i2,min_i2,strongest_contrast,top_random_effect,top_effect_direction,robust_contrast_summary,evidence_outcomes,evidence_runs,priority_label,best_nonzero_folds,all5_any_run,max_mean_abs_coefficient,likely_dataset_sensitive,r2_disease_group,r2_dataset,disease_r2_after_dataset,model_priority_score,dataset_warning,has_snp_annotation,evidence_tier,strict_subset_membership,direction_consistency,original_annotation,UCSC_RefGene_Name,current_gene_symbol,current_gene_aliases,gene_symbol_mapping_source,chromosome,genomic_position_hg19,MAPINFO,strand,UCSC_RefGene_Group,gene_region_annotation,UCSC_RefGene_Accession,Relation_to_UCSC_CpG_Island,CpG_island_name,Regulatory_Feature_Name,Regulatory_Feature_Group,Enhancer,DHS,DMR,HMM_Island,Phantom,nearby_regulatory_annotation,annotation_source,in_450k_annotation,in_epic_annotation,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,nearest_gene,nearest_gene_entrez,nearest_tss_transcript_id,nearest_tss_chr,nearest_tss_position,nearest_tss_strand,nearest_tss_distance,nearest_tss_orientation,biological_evidence_class,human_masld_evidence,human_liver_fibrosis_evidence,experimental_masld_evidence,experimental_liver_fibrosis_evidence,hepatic_metabolism_evidence,evidence_directness,evidence_source_1,evidence_source_2,evidence_source_3,literature_note,final_interpretation_priority,include_in_interpretation_panel,selection_reason,gene_or_genomic_context,interpretation_label,gene_genomic_context
1,cg10987682,116.10094949890768,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,2.070779326133493e-61,60.68386617949806,0.1886433718348373,37.98101002184669,1.2757381554674792,disease_vs_healthy,-0.17348192114218045,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.189, FDR=2.40e-30, I2=10.1 | disease_vs_healthy: -0.173, FDR=2.07e-61, I2=1.3 | fibrosis_vs_nonfibrosis: -0.155, FDR=8.84e-05, I2=49.9 | progression_score: -0.124, FDR=6.13e-05, I2=90.7",binary_healthy_vs_disease;disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,binary_healthy_vs_disease_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_and_binary_all5,6,TRUE,1.1143156023217329,FALSE,0.408853047213392,0.1801375178908004,0.2752569909627713,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr2,23509827,23509827,+,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,No gene/locus-specific human MASLD evidence identified.,No gene/locus-specific human liver-fibrosis evidence identified.,No gene/locus-specific experimental MASLD evidence identified.,No gene/locus-specific experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic/no-gene candidate; no nearest-gene assignment is made in thesis-facing outputs.,NA,NA,NA,Biologically unresolved intergenic/no-gene candidate retained as a discovery-oriented statistical signal without assigning a nearest gene.,14,TRUE,Selected as a discovery-oriented unresolved locus because it is statistical rank 1 and belongs to the strict internal-support subset; retained without assigning a mechanism or target gene.,intergenic/no-gene,Interpretation priority 14,intergenic; unannotated
2,cg09870609,115.96782084409968,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,1.9267152088854544e-94,93.71518247442084,0.1453818158486491,40.64358311800653,0,advanced_vs_nonadvanced,-0.14537851643264238,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.145, FDR=1.93e-94, I2=0.0 | disease_vs_healthy: -0.145, FDR=3.05e-73, I2=6.1 | fibrosis_vs_nonfibrosis: -0.109, FDR=8.39e-03, I2=66.3 | progression_score: -0.101, FDR=3.77e-05, I2=90.2",binary_healthy_vs_disease_no_healthy_obese;disease_group_3_no_healthy_obese;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_and_binary_all5,6,TRUE,0.9844700900319028,FALSE,0.48883900897286975,0.20303028776812537,0.34547609248143996,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr15,81702952,81702952,+,NA,NA,NA,OpenSea,NA,15:81702522-81703190,Unclassified,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=15:81702522-81703190; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,No gene/locus-specific human MASLD evidence identified.,No gene/locus-specific human liver-fibrosis evidence identified.,No gene/locus-specific experimental MASLD evidence identified.,No gene/locus-specific experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic/no-gene candidate; no nearest-gene assignment is made in thesis-facing outputs.,NA,NA,NA,Biologically unresolved intergenic/no-gene candidate retained as a discovery-oriented statistical signal without assigning a nearest gene.,15,TRUE,Selected as a second discovery-oriented unresolved locus because of its statistical rank 2 and strict-subset status; biological interpretation is intentionally left open.,intergenic/no-gene,Interpretation priority 15,intergenic; unannotated
3,cg07953015,115.94014291771342,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,1.0849957729937783e-73,72.9645719537685,0.14798382207853158,41.19714164573175,0,advanced_vs_nonadvanced,0.14798382207853158,higher methylation in case/higher stage,"advanced_vs_nonadvanced: +0.148, FDR=1.08e-73, I2=0.0 | disease_vs_healthy: +0.129, FDR=1.52e-29, I2=27.3 | fibrosis_vs_nonfibrosis: +0.124, FDR=9.46e-05, I2=54.3 | progression_score: +0.088, FDR=1.49e-06, I2=83.2",binary_healthy_vs_disease;disease_group_3;disease_group_4,binary_healthy_vs_disease_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_4_cpg_only_loso,stage_and_binary_all5,5,TRUE,0.7814882189089066,FALSE,0.4022653917170795,0.16697165627558683,0.2715842010032601,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,SEPW1,SEPW1,SELENOW,SELENOW;selW;SEPW1,org.Hs.eg.db:ALIAS,chr19,48285322,48285322,+,3'UTR,3'UTR,NM_003009,S_Shelf,chr19:48281585-48282351,19:48284813-48285362,Unclassified_Cell_type_specific,NA,NA,CDMR,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=19:48284813-48285362; Enhancer=NA; DHS=NA; DMR=CDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Yes — SELENOW was reported as altered in human NAFLD liver using GEO-derived human liver data.,No direct human fibrosis-specific SELENOW validation identified.,Yes — SelW loss alleviated HFD-induced hepatic steatosis and altered inflammatory/metabolic pathways in mice.,No fibrosis-focused causal study identified.,"Yes — links to hepatic redox biology, metabolic reprogramming, mitochondrial ROS and inflammatory signaling.","Direct gene annotation (SELENOW 3'UTR). Disease evidence is gene-level, not proof that methylation at cg07953015 controls SELENOW expression.",https://pubmed.ncbi.nlm.nih.gov/38460355/,NA,NA,"SELENOW has direct NAFLD-specific experimental evidence and human-liver transcriptomic support. The 2024 study links SelW to metabolic reprogramming, mitochondrial ROS, pyroptosis and macrophage cGAS-STING signaling. This provides unusually direct biological context for a high-ranked CpG, although no methylation-to-expression link for cg07953015 has been demonstrated.",1,TRUE,"Selected because it combines statistical rank 3, strict-subset membership, direct gene annotation and direct NAFLD-specific experimental/human-liver evidence.",SEPW1 / current: SELENOW,Interpretation priority 1,SELENOW
4,cg09742465,113.687426381186,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,6.29957189135496e-47,46.20068896348922,0.1339103483610672,33.06111786512864,0,advanced_vs_nonadvanced,-0.12500378674233795,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.125, FDR=6.30e-47, I2=0.0 | disease_vs_healthy: -0.134, FDR=7.48e-25, I2=40.4 | fibrosis_vs_nonfibrosis: -0.123, FDR=3.96e-41, I2=0.0 | progression_score: -0.097, FDR=3.88e-04, I2=91.8",binary_healthy_vs_disease_no_healthy_obese;disease_group_3_no_healthy_obese;disease_group_4_no_healthy_obese,binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso,stage_and_binary_all5,5,TRUE,1.639720208997426,FALSE,0.42648608941093,0.1890665487769364,0.2605630331735098,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr2,8618154,8618154,-,NA,NA,NA,OpenSea,NA,2:8617671-8618390,Promoter_Associated,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Promoter_Associated; Regulatory_Feature_Name=2:8617671-8618390; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LINC00299,339789,ENST00000764356.1_2,chr2,8628384,-,10229,downstream,U,No CpG- or LINC00299-specific human MASLD evidence identified.,No human liver-fibrosis evidence identified.,No experimental MASLD evidence identified.,No experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,"Intergenic enhancer ~10.2 kb from LINC00299. Literature for LINC00299 is mainly outside liver disease, and no regulatory link from this CpG to LINC00299 was identified.",NA,NA,NA,"Despite statistical rank 4 and strict-subset membership, the locus remains biologically unresolved in the MASLD/liver context.",NA,FALSE,Not selected for the interpretation panel because biological assignment is unresolved and two even higher-ranked unresolved loci were already retained to represent discovery-oriented signals.,intergenic/no-gene; near LINC00299,NA,intergenic/no-gene
5,cg08928408,108.7702700256975,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,3.5812472605171675e-46,45.44596569290291,0.17208621330490811,40.83811918669092,0,advanced_vs_nonadvanced,-0.17208621330490811,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.172, FDR=3.58e-46, I2=0.0 | disease_vs_healthy: -0.157, FDR=2.42e-30, I2=18.0 | fibrosis_vs_nonfibrosis: -0.129, FDR=1.39e-03, I2=59.2 | progression_score: -0.110, FDR=2.46e-05, I2=86.1",disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_replicated_all5,6,TRUE,0.4181593280762931,FALSE,0.3787644143476635,0.205117883593102,0.2447690190707313,3,none,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,NA,NA,NA,NA,NA,chr3,149454106,149454106,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,WWTR1,25937,ENST00000474080.1_3,chr3,149454501,-,394,downstream,C,Adjacent-gene context only — WWTR1/TAZ is markedly increased in hepatocytes in human NASH compared with normal/steatotic liver.,Adjacent-gene context only — human NASH liver showed TAZ elevation; fibrosis causality is supported primarily by experimental models.,"Yes for adjacent WWTR1 — hepatocyte TAZ silencing prevented/reversed NASH inflammation and fibrosis, whereas TAZ expression promoted NASH features in mice.","Yes for adjacent WWTR1 — multiple NASH models, including hepatocyte-humanized mice, support a causal profibrotic TAZ pathway.",Yes for adjacent WWTR1 — mechanistically links hepatocyte stress to IHH-dependent hepatic stellate-cell activation.,"Intergenic enhancer 394 bp from the WWTR1 TSS. The disease evidence is exceptionally strong for WWTR1, but no direct evidence links cg08928408 methylation to WWTR1 expression or function.",https://pubmed.ncbi.nlm.nih.gov/28068223/,https://pubmed.ncbi.nlm.nih.gov/31497743/,https://pubmed.ncbi.nlm.nih.gov/38144682/,"WWTR1/TAZ is one of the strongest MASLD/MASH-fibrosis genes near any intergenic Top-30 locus. Because cg08928408 lies only 394 bp from its TSS and is enhancer-annotated, the neighborhood is biologically notable; nevertheless, the CpG must be described as 'near WWTR1', not as a WWTR1 regulatory CpG.",4,TRUE,"Selected because of statistical rank 5 and unusually close proximity to a gene with strong human and causal MASH-fibrosis evidence, while explicitly preserving the unresolved CpG-to-gene link.",intergenic/no-gene; near WWTR1,Interpretation priority 4,intergenic; WWTR1-proximal
6,cg24680129,108.742850051706,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,7.3117628799664955e-40,39.13597790118997,0.1195908419565664,33.046689582539855,0.23633904644844492,disease_vs_healthy,-0.1195908419565664,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.098, FDR=1.90e-07, I2=33.8 | disease_vs_healthy: -0.120, FDR=7.31e-40, I2=0.2 | fibrosis_vs_nonfibrosis: -0.117, FDR=2.45e-10, I2=12.5 | progression_score: -0.083, FDR=6.88e-04, I2=85.7",binary_healthy_vs_disease;disease_group_3;disease_group_4,binary_healthy_vs_disease_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_4_cpg_only_loso,stage_and_binary_all5,5,TRUE,0.9247557701076388,FALSE,0.32427589103995114,0.1694764341234332,0.1935954780318743,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr12,13318625,13318625,-,NA,NA,NA,OpenSea,NA,12:13318412-13318944,Unclassified_Cell_type_specific,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=12:13318412-13318944; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,EMP1,2012,ENST00000431267.2_1,chr12,13349657,+,31031,upstream,C,Adjacent-gene context only — EMP1 is elevated in human NASH/advanced fibrotic liver datasets and was validated in human MASLD donor-liver work.,Adjacent-gene context only — EMP1 is reported in human fibrotic liver/HSC signatures.,"Adjacent-gene context only — EMP1 has mechanistic MASLD-IRI/HSC evidence, but this is not evidence for cg24680129.",Adjacent-gene context only — EMP1 is linked to HSC activation and fibrosis in experimental systems.,Potentially relevant through HSC activation rather than hepatocyte metabolism.,Intergenic enhancer/DHS ~31 kb from the EMP1 TSS. Strong EMP1 liver evidence does not establish a regulatory connection to this CpG.,https://pubmed.ncbi.nlm.nih.gov/37008256/,https://pubmed.ncbi.nlm.nih.gov/41284206/,NA,"EMP1 is biologically compelling for hepatic stellate-cell activation and fibrosis, including NASH/MASLD contexts, but the candidate CpG is ~31 kb from EMP1. This distance and absence of CpG-specific regulatory evidence substantially weaken locus-level interpretation.",NA,FALSE,Not selected despite statistical rank 6 because the appealing biology belongs to a relatively distant nearest gene and the CpG-to-EMP1 link is unvalidated.,intergenic/no-gene; near EMP1,NA,intergenic/no-gene
7,cg05099464,107.46226113266084,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,4.1436897817863416e-93,92.38261276559425,0.25158606275130646,50.7547773467835,0,disease_vs_healthy,-0.22279254891881825,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.252, FDR=8.44e-10, I2=70.1 | disease_vs_healthy: -0.223, FDR=4.14e-93, I2=0.0 | fibrosis_vs_nonfibrosis: -0.212, FDR=7.01e-06, I2=47.5 | progression_score: -0.147, FDR=3.75e-06, I2=85.4",disease_group_3_no_healthy_obese,disease_group_3_no_healthy_obese_cpg_only_loso,stable_secondary,5,TRUE,0.1723541424296006,FALSE,0.4010563387108382,0.12264347752212848,0.3570455932440795,1,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,ARHGEF12,ARHGEF12,ARHGEF12,ARHGEF12;LARG;PRO2792,org.Hs.eg.db:SYMBOL,chr11,120302922,120302922,+,Body,Body,NM_015313,OpenSea,NA,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,No direct MASLD-specific ARHGEF12 study identified.,Yes — the LARG/ARHGEF12 pathway was examined in human cirrhotic liver and hepatic stellate-cell contraction/portal hypertension.,No direct MASLD model identified.,"Yes — cirrhotic mouse and HSC experiments support LARG-mediated RhoA signaling in HSC contraction, with long-term pathway inhibition ameliorating fibrosis/inflammation.",Indirect; relevant mainly to fibrogenic HSC signaling and contractility rather than lipid metabolism.,Direct gene-body annotation to ARHGEF12. Evidence is gene/pathway-level and does not establish a functional consequence of cg05099464 methylation.,https://pubmed.ncbi.nlm.nih.gov/33085791/,NA,NA,"ARHGEF12 (LARG) participates in Wnt/Gli1-dependent RhoA activation in hepatic stellate cells and cirrhotic portal hypertension, with supporting human liver and mouse/HSC experiments. The evidence is liver-fibrosis-specific but not MASLD-specific.",8,TRUE,"Selected because it is statistical rank 7, directly gene-annotated, and has mechanistic and human-liver support for a relevant hepatic stellate-cell/fibrosis pathway.",ARHGEF12 / current: ARHGEF12,Interpretation priority 8,ARHGEF12
8,cg22946219,107.20406433435691,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,2.2258980742442844e-65,64.65249472625771,0.12847691303489608,25.91871331286164,0,disease_vs_healthy,0.12655211526062063,higher methylation in case/higher stage,"advanced_vs_nonadvanced: +0.128, FDR=2.86e-55, I2=0.0 | disease_vs_healthy: +0.127, FDR=2.23e-65, I2=0.0 | fibrosis_vs_nonfibrosis: +0.115, FDR=6.90e-06, I2=21.5 | progression_score: +0.084, FDR=1.67e-04, I2=82.1",disease_group_3,disease_group_3_cpg_only_loso,stable_secondary,4,FALSE,0.2490370139755011,FALSE,0.30533656113769175,0.29533284618711036,0.19237271602184888,1,none,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,RAI1,RAI1,RAI1,RAI1;SMCR;SMS,org.Hs.eg.db:SYMBOL,chr17,17714414,17714414,+,3'UTR,3'UTR,NM_030665,Island,chr17:17712911-17714456,NA,NA,TRUE,TRUE,NA,17:17654992-17655201,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,No direct human MASLD/NAFLD liver evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,"Indirect — human RAI1-haploinsufficient cells show altered lipid metabolism, lipid-droplet accumulation, defective autophagy, mitochondrial dysfunction and ROS.","Direct 3'UTR annotation to RAI1, but available evidence is systemic/cellular metabolic biology from Smith-Magenis syndrome rather than liver disease.",https://pubmed.ncbi.nlm.nih.gov/36411275/,NA,NA,RAI1 provides a plausible metabolic/autophagy context but currently lacks direct hepatic MASLD or fibrosis evidence. Its relevance should therefore be presented as indirect rather than liver-specific.,13,TRUE,"Selected because it is a high statistical rank (8), directly annotated to RAI1 and has reproducible lipid/autophagy/mitochondrial biology, while being clearly labeled as indirect MASLD evidence.",RAI1 / current: RAI1,Interpretation priority 13,RAI1
9,cg13175329,106.57064613221632,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,3.0612672054001446e-79,78.51409876097239,0.1596743037920233,38.58707735567381,0,advanced_vs_nonadvanced,-0.1596743037920233,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.160, FDR=3.06e-79, I2=0.0 | disease_vs_healthy: -0.091, FDR=5.94e-03, I2=85.5 | fibrosis_vs_nonfibrosis: -0.158, FDR=1.62e-72, I2=0.0 | progression_score: -0.077, FDR=4.17e-07, I2=68.9",disease_group_4,disease_group_4_cpg_only_loso,stable_secondary,4,FALSE,0.16865315665049324,FALSE,0.33664483451307664,0.16421889047266497,0.27255625419581647,1,none,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,NA,NA,NA,NA,NA,chr6,25035073,25035073,-,NA,NA,NA,OpenSea,NA,6:25034720-25035074,Unclassified,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=6:25034720-25035074; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC102724765,102724765,ENST00000762192.1_1,chr6,25036303,-,1229,downstream,U,No convincing MASLD evidence identified for the intergenic locus or nearest LOC102724765.,No convincing liver-fibrosis evidence identified.,No direct experimental MASLD evidence identified.,No direct experimental fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~1.2 kb from an uncharacterized LOC transcript; no functional locus-to-gene evidence identified.,NA,NA,NA,Strong statistical signal but currently lacks an interpretable gene or disease-specific biological context.,NA,FALSE,Not selected because the locus is biologically unresolved despite statistical rank 9.,intergenic/no-gene; near LOC102724765,NA,intergenic/no-gene
10,cg06974428,105.38806614605734,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,3.2602906984842676e-91,90.48674367504891,0.21476619544297396,62.23867707885327,0,advanced_vs_nonadvanced,-0.21476619544297396,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.215, FDR=3.26e-91, I2=0.0 | disease_vs_healthy: -0.114, FDR=1.00e-02, I2=89.2 | fibrosis_vs_nonfibrosis: -0.168, FDR=3.35e-03, I2=77.5 | progression_score: -0.102, FDR=4.52e-06, I2=82.2",disease_group_3_no_healthy_obese,disease_group_3_no_healthy_obese_cpg_only_loso,stable_secondary,4,FALSE,0.23926210826572333,FALSE,0.37839302846086864,0.06159515057128816,0.3540607831872749,1,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,PIP4K2A,PIP4K2A,PIP4K2A,PI5P4KA;PIP4K2A;PIP5K2A;PIP5KII-alpha;PIP5KIIA;PIPK,org.Hs.eg.db:SYMBOL,chr10,22972299,22972299,-,Body,Body,NM_005028,OpenSea,NA,10:22972157-22972556,Unclassified,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=10:22972157-22972556; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,No direct human MASLD association for PIP4K2A identified.,No direct human liver-fibrosis evidence identified.,Indirect experimental metabolic-liver evidence — liver-specific Pip4k2a/Pip4k2b deletion causes hepatic lipid-droplet accumulation and defective autophagy during fasting.,No direct experimental liver-fibrosis evidence identified.,"Yes — strong mechanistic evidence for hepatic lipid handling, autophagy/lysosomal flux and phosphoinositide metabolism.",Direct PIP4K2A gene-body annotation. Evidence is hepatic metabolic mechanism rather than direct MASLD disease validation.,https://pubmed.ncbi.nlm.nih.gov/29727621/,NA,NA,"PIP4K2A is biologically plausible through hepatic phosphoinositide signaling, autophagy and lipid-droplet homeostasis. Liver-specific knockout evidence is strong mechanistically, but a direct MASLD/fibrosis association has not been established.",10,TRUE,"Selected because of statistical rank 10, direct gene annotation, very strong cross-study signal and a coherent hepatic lipid/autophagy mechanism.",PIP4K2A / current: PIP4K2A,Interpretation priority 10,PIP4K2A
