CpG,gene_genomic_context,n_strict_contrasts,strict_contrasts,best_FDR,max_abs_random_effect,datasets,priority_label,best_nonzero_folds,likely_dataset_sensitive,r2_disease_group,r2_dataset,disease_r2_after_dataset
cg09870609,intergenic; unannotated,2,advanced_vs_nonadvanced;disease_vs_healthy,1.9267152088854544e-94,0.1453818158486491,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.48883900897286975,0.20303028776812537,0.34547609248143996
cg07953015,SELENOW,2,advanced_vs_nonadvanced;disease_vs_healthy,1.0849957729937783e-73,0.14798382207853158,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.4022653917170795,0.16697165627558683,0.2715842010032601
cg10987682,intergenic; unannotated,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,2.070779326133493e-61,0.1886433718348373,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.408853047213392,0.1801375178908004,0.2752569909627713
cg09742465,intergenic/no-gene,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,6.29957189135496e-47,0.1339103483610672,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.42648608941093,0.1890665487769364,0.2605630331735098
cg24680129,intergenic/no-gene,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,7.3117628799664955e-40,0.1195908419565664,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.32427589103995114,0.1694764341234332,0.1935954780318743
cg02246928,intergenic/no-gene,1,advanced_vs_nonadvanced,8.670818919696251e-36,0.11772581010658892,Johnson;Murphy;VanDijck,stage_and_binary_all5,5,no,0.3732759107273093,0.23334524429457812,0.22306912226819375
cg00639517,MGMT,2,advanced_vs_nonadvanced;disease_vs_healthy,4.493829691006268e-34,0.17204562361648132,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.2805010241140965,0.0397556551342679,0.24538791205667307
cg02033582,intergenic/no-gene,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,1.781501072443797e-29,0.1523885878701629,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.42605972085195304,0.3068902095729439,0.1971671702946296
cg18680181,PRORP,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,2.537356381324136e-29,0.13349822703205114,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.3265174492924324,0.21983542646052096,0.1933659033253312
cg21695727,ZNF592,1,advanced_vs_nonadvanced,1.1015518973199488e-24,0.12267990424045536,Johnson;Murphy;VanDijck,stage_and_binary,6,no,0.2144107665283819,0.0995023076002306,0.14646915177208605
cg09919917,intergenic/no-gene,1,progression_score,1.202663739944601e-21,0.04925830001014945,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.1626306432171177,0.0645142496618942,0.15414139475601782
cg08134286,PER3,1,progression_score,6.754600608773454e-20,0.08763194101531038,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary,6,no,0.4087808653652126,0.07320381646699307,0.3651763237237088
cg13052638,intergenic/no-gene,1,advanced_vs_nonadvanced,1.546576965750399e-19,0.16883633456969488,Johnson;Murphy;VanDijck,stage_and_binary_all5,5,no,0.4271178868250825,0.15715435729519514,0.34230551032014356
cg20502977,COL6A3,1,disease_vs_healthy,4.8710730439943454e-18,0.14344657268942915,Ahrens;Horvath;Johnson;ITEN;VanDijck,stage_and_binary_all5,6,no,0.32819710838023597,0.07190231457861232,0.2666727443317086
cg00179374,PLXNA4,2,advanced_vs_nonadvanced;progression_score,1.4089213079590826e-17,0.09802288825785084,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.27100958903656325,0.24005303705788217,0.1125885972083071
cg08151370,FAM198A,1,advanced_vs_nonadvanced,4.830650559679098e-17,0.11049418092795668,Johnson;Murphy;VanDijck,stage_and_binary_all5,6,no,0.25353323428781827,0.187511070769145,0.11236786071896518
cg07780694,SCLY,2,fibrosis_vs_nonfibrosis;progression_score,1.739874056709208e-15,0.10073556054554304,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,6,no,0.182722838812499,0.08713336690702746,0.13941753486585284
cg26433333,intergenic/no-gene,1,disease_vs_healthy,5.289044191962461e-15,0.1167273843264671,Ahrens;Horvath;Johnson;ITEN;VanDijck,stage_and_binary_all5,6,no,0.28162255471808795,0.09227789110592248,0.22657853780611972
cg05031931,FAM20C,1,advanced_vs_nonadvanced,3.1961505147437773e-13,0.1391817915684948,Johnson;Murphy;VanDijck,stage_and_binary_all5,5,no,0.29351303241933835,0.03783944343489833,0.2667520621103826
cg10051724,intergenic/no-gene,1,progression_score,5.3040215116994264e-12,0.04453962429673807,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.24168584986809188,0.19173385729881395,0.14004773996589517
cg24249925,DDR2,3,advanced_vs_nonadvanced;disease_vs_healthy;fibrosis_vs_nonfibrosis,1.513872923683423e-11,0.1048946560100448,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.0972381082715824,0.0475948529630988,0.07598433779898624
cg06890813,LOC100131726/FAM83A,3,advanced_vs_nonadvanced;fibrosis_vs_nonfibrosis;progression_score,7.242061294052266e-11,0.07791214687677062,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.16552465753025641,0.11539481684650028,0.08102400213797487
cg08882027,intergenic/no-gene,1,advanced_vs_nonadvanced,2.0513676341050423e-10,0.0861387594176412,Johnson;Murphy;VanDijck,stage_and_binary,6,no,0.12380714261888776,0.08759106193441078,0.08898495775646838
cg13280882,SLC22A3,1,advanced_vs_nonadvanced,6.671523648150873e-10,0.12128356806022536,Johnson;Murphy;VanDijck,stage_and_binary_all5,5,no,0.12501086295687805,0.03399218917040834,0.11335457136326604
cg09776041,NADSYN1,1,disease_vs_healthy,1.2659039623692275e-9,0.10443985794893144,Ahrens;Horvath;Johnson;ITEN;VanDijck,stage_and_binary,4,no,0.14670955557869572,0.07950756385590826,0.16555733002380288
cg10221365,JMJD5,2,advanced_vs_nonadvanced;fibrosis_vs_nonfibrosis,1.511122540741531e-9,0.1008488972005866,Horvath;Johnson;Murphy;VanDijck,stage_and_binary_all5,5,no,0.07383301273026814,0.0439113701626596,0.07159524931778821
cg00692780,EPHA4,1,progression_score,2.2073060944127567e-9,0.06405081568599337,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary,6,no,0.3097849077239178,0.08663182005982026,0.2358289790913528
cg12870014,ANKRD13A,2,advanced_vs_nonadvanced;progression_score,9.1366641485667e-9,0.1091342655669612,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,stage_and_binary_all5,5,no,0.10416598456388358,0.02963079370415765,0.09097584761758344
cg19595402,SRCIN1,1,disease_vs_healthy,1.1296608907170669e-7,0.06995916590750986,Ahrens;Horvath;Johnson;ITEN;VanDijck,stage_and_binary_all5,6,no,0.07123624293506123,0.06577829437844818,0.09245390776348712
cg09174870,MT1G/MT1H,1,advanced_vs_nonadvanced,2.2390657066290977e-7,0.12596153761039705,Johnson;Murphy;VanDijck,stage_and_binary_all5,6,no,0.17094607624297606,0.11409375646595717,0.1014933397031386
cg19639560,SLC16A11,1,advanced_vs_nonadvanced,3.383049399094511e-7,0.07384590934841877,Johnson;Murphy;VanDijck,stage_and_binary,4,no,0.1945372388906388,0.19107699925249963,0.08321166412144052
