cpg,gene_genomic_context,statistical_rank,candidate_priority_score,robust_contrasts,tier1_contrasts,tier2_contrasts,tier3_contrasts,same_direction_contrasts,max_n_datasets,best_fdr,best_neg_log10_fdr,mean_i2,min_i2,strongest_contrast,strongest_supported_contrast,top_random_effect,top_effect_direction,max_abs_meta_effect,strict_internal_support_subset,likely_dataset_sensitive,priority_label,best_nonzero_folds,all5_any_run,r2_disease_group,r2_dataset,disease_r2_after_dataset,dataset_warning,UCSC_RefGene_Name,chr,pos,Relation_to_Island,UCSC_RefGene_Group,Regulatory_Feature_Group,Enhancer,DHS,DMR
cg10987682,intergenic; unannotated,1,116.10094949890768,4,4,0,0,4,6,2.070779326133493e-61,60.68386617949806,37.98101002184669,1.2757381554674792,disease_vs_healthy,Disease vs healthy,-0.17348192114218045,lower methylation in case/higher stage,0.1886433718348373,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.408853047213392,0.1801375178908004,0.2752569909627713,none,NA,chr2,23509827,OpenSea,NA,NA,TRUE,NA,NA
cg09870609,intergenic; unannotated,2,115.96782084409968,4,4,0,0,4,6,1.9267152088854544e-94,93.71518247442084,40.64358311800653,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.14537851643264238,lower methylation in case/higher stage,0.1453818158486491,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.48883900897286975,0.20303028776812537,0.34547609248143996,none,NA,chr15,81702952,OpenSea,NA,Unclassified,TRUE,TRUE,NA
cg07953015,SELENOW,3,115.94014291771342,4,4,0,0,4,6,1.0849957729937783e-73,72.9645719537685,41.19714164573175,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.14798382207853158,higher methylation in case/higher stage,0.14798382207853158,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.4022653917170795,0.16697165627558683,0.2715842010032601,none,SEPW1,chr19,48285322,S_Shelf,3'UTR,Unclassified_Cell_type_specific,NA,NA,CDMR
cg09742465,intergenic/no-gene,4,113.687426381186,4,4,0,0,4,6,6.29957189135496e-47,46.20068896348922,33.06111786512864,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.12500378674233795,lower methylation in case/higher stage,0.1339103483610672,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.42648608941093,0.1890665487769364,0.2605630331735098,none,NA,chr2,8618154,OpenSea,NA,Promoter_Associated,TRUE,NA,NA
cg08928408,intergenic; WWTR1-proximal,5,108.7702700256975,4,4,0,0,4,6,3.5812472605171675e-46,45.44596569290291,40.83811918669092,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.17208621330490811,lower methylation in case/higher stage,0.17208621330490811,FALSE,FALSE,stage_replicated_all5,6,TRUE,0.3787644143476635,0.205117883593102,0.2447690190707313,none,NA,chr3,149454106,OpenSea,NA,NA,TRUE,NA,NA
cg24680129,intergenic/no-gene,6,108.742850051706,4,4,0,0,4,6,7.3117628799664955e-40,39.13597790118997,33.046689582539855,0.23633904644844492,disease_vs_healthy,Disease vs healthy,-0.1195908419565664,lower methylation in case/higher stage,0.1195908419565664,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.32427589103995114,0.1694764341234332,0.1935954780318743,none,NA,chr12,13318625,OpenSea,NA,Unclassified_Cell_type_specific,TRUE,TRUE,NA
cg05099464,ARHGEF12,7,107.46226113266084,4,4,0,0,4,6,4.143689781786342e-93,92.38261276559425,50.7547773467835,0,disease_vs_healthy,Disease vs healthy,-0.22279254891881825,lower methylation in case/higher stage,0.25158606275130646,FALSE,FALSE,stable_secondary,5,TRUE,0.4010563387108382,0.12264347752212848,0.3570455932440795,high_heterogeneity,ARHGEF12,chr11,120302922,OpenSea,Body,NA,TRUE,TRUE,NA
cg22946219,RAI1,8,107.20406433435691,4,4,0,0,4,6,2.2258980742442844e-65,64.65249472625771,25.91871331286164,0,disease_vs_healthy,Disease vs healthy,0.12655211526062063,higher methylation in case/higher stage,0.12847691303489608,FALSE,FALSE,stable_secondary,4,FALSE,0.30533656113769175,0.29533284618711036,0.19237271602184888,none,RAI1,chr17,17714414,Island,3'UTR,NA,TRUE,TRUE,NA
cg13175329,intergenic/no-gene,9,106.57064613221632,4,4,0,0,4,6,3.0612672054001446e-79,78.51409876097239,38.58707735567381,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.1596743037920233,lower methylation in case/higher stage,0.1596743037920233,FALSE,FALSE,stable_secondary,4,FALSE,0.33664483451307664,0.16421889047266497,0.27255625419581647,none,NA,chr6,25035073,OpenSea,NA,Unclassified,TRUE,NA,NA
cg06974428,PIP4K2A,10,105.38806614605734,4,4,0,0,4,6,3.2602906984842676e-91,90.48674367504891,62.23867707885327,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.21476619544297396,lower methylation in case/higher stage,0.21476619544297396,FALSE,FALSE,stable_secondary,4,FALSE,0.37839302846086864,0.06159515057128816,0.3540607831872749,high_heterogeneity,PIP4K2A,chr10,22972299,OpenSea,Body,Unclassified,TRUE,NA,NA
