statistical_rank,cpg,original_annotation,UCSC_RefGene_Name,current_gene_symbol,current_gene_aliases,gene_symbol_mapping_source,candidate_priority_score,evidence_tier,strict_subset_membership,robust_contrasts,tier1_contrasts,same_direction_contrasts,max_n_datasets,best_fdr,best_neg_log10_fdr,mean_i2,max_abs_meta_effect,top_effect_direction,strongest_contrast,direction_consistency,likely_dataset_sensitive,priority_label,all5_any_run,chromosome,genomic_position_hg19,MAPINFO,strand,UCSC_RefGene_Group,gene_region_annotation,UCSC_RefGene_Accession,Relation_to_UCSC_CpG_Island,CpG_island_name,Regulatory_Feature_Name,Regulatory_Feature_Group,Enhancer,DHS,DMR,HMM_Island,Phantom,nearby_regulatory_annotation,annotation_source,in_450k_annotation,in_epic_annotation,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,nearest_gene,nearest_gene_entrez,nearest_tss_transcript_id,nearest_tss_chr,nearest_tss_position,nearest_tss_strand,nearest_tss_distance,nearest_tss_orientation,previously_reviewed_in_old_script13,old_biological_support_tier,old_biological_support_score,old_source_label,biological_evidence_class,human_masld_evidence,human_liver_fibrosis_evidence,experimental_masld_evidence,experimental_liver_fibrosis_evidence,hepatic_metabolism_evidence,evidence_directness,evidence_source_1,evidence_source_2,evidence_source_3,literature_note,final_interpretation_priority,include_in_interpretation_panel,selection_reason
1,cg10987682,NA,NA,NA,NA,NA,116.10094949890768,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,2.070779326133493e-61,60.68386617949806,37.98101002184669,0.1886433718348373,lower methylation in case/higher stage,disease_vs_healthy,1,FALSE,stage_and_binary_all5,TRUE,chr2,23509827,23509827,+,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LINC02923,105374323,ENST00000426527.2_6,chr2,23583247,-,73419,downstream,FALSE,NA,NA,NA,U,No gene/locus-specific human MASLD evidence identified.,No gene/locus-specific human liver-fibrosis evidence identified.,No gene/locus-specific experimental MASLD evidence identified.,No gene/locus-specific experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,"Intergenic enhancer; nearest annotated TSS is LINC02923 (~73.4 kb). Nearest-gene proximity is not evidence of regulation, and no CpG-specific functional publication was identified in the targeted search.",,,,"Statistically the highest-ranked CpG and a strict-subset member, but biologically unresolved. The large distance to the nearest annotated TSS makes gene assignment particularly uncertain.",14,TRUE,Selected as a discovery-oriented unresolved locus because it is statistical rank 1 and belongs to the strict internal-support subset; retained without assigning a mechanism or target gene.
2,cg09870609,NA,NA,NA,NA,NA,115.96782084409968,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,1.9267152088854544e-94,93.71518247442084,40.64358311800653,0.1453818158486491,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr15,81702952,81702952,+,NA,NA,NA,OpenSea,NA,15:81702522-81703190,Unclassified,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=15:81702522-81703190; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TMC3-AS1,101929655,ENST00000829102.1_1,chr15,81702850,+,101,downstream,FALSE,NA,NA,NA,U,No CpG- or TMC3-AS1-specific human MASLD evidence identified.,No CpG- or TMC3-AS1-specific human liver-fibrosis evidence identified.,No direct experimental MASLD evidence identified.,No direct experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,"Intergenic enhancer/DHS only 101 bp from the TMC3-AS1 TSS, but no evidence was identified that this CpG regulates TMC3-AS1 or that TMC3-AS1 is a MASLD gene.",,,,A very strong statistical signal (rank 2; strict subset) with close TSS proximity but currently unresolved biological function. Proximity alone should not be interpreted as a regulatory relationship.,15,TRUE,Selected as a second discovery-oriented unresolved locus because of its statistical rank 2 and strict-subset status; biological interpretation is intentionally left open.
3,cg07953015,SEPW1,SEPW1,SELENOW,SELENOW;selW;SEPW1,org.Hs.eg.db:ALIAS,115.94014291771342,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,1.0849957729937783e-73,72.9645719537685,41.19714164573175,0.14798382207853158,higher methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr19,48285322,48285322,+,3'UTR,3'UTR,NM_003009,S_Shelf,chr19:48281585-48282351,19:48284813-48285362,Unclassified_Cell_type_specific,NA,NA,CDMR,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=19:48284813-48285362; Enhancer=NA; DHS=NA; DMR=CDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,A,Yes — SELENOW was reported as altered in human NAFLD liver using GEO-derived human liver data.,No direct human fibrosis-specific SELENOW validation identified.,Yes — SelW loss alleviated HFD-induced hepatic steatosis and altered inflammatory/metabolic pathways in mice.,No fibrosis-focused causal study identified.,"Yes — links to hepatic redox biology, metabolic reprogramming, mitochondrial ROS and inflammatory signaling.","Direct gene annotation (SELENOW 3'UTR). Disease evidence is gene-level, not proof that methylation at cg07953015 controls SELENOW expression.",https://pubmed.ncbi.nlm.nih.gov/38460355/,,,"SELENOW has direct NAFLD-specific experimental evidence and human-liver transcriptomic support. The 2024 study links SelW to metabolic reprogramming, mitochondrial ROS, pyroptosis and macrophage cGAS-STING signaling. This provides unusually direct biological context for a high-ranked CpG, although no methylation-to-expression link for cg07953015 has been demonstrated.",1,TRUE,"Selected because it combines statistical rank 3, strict-subset membership, direct gene annotation and direct NAFLD-specific experimental/human-liver evidence."
4,cg09742465,NA,NA,NA,NA,NA,113.687426381186,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,6.29957189135496e-47,46.20068896348922,33.06111786512864,0.1339103483610672,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr2,8618154,8618154,-,NA,NA,NA,OpenSea,NA,2:8617671-8618390,Promoter_Associated,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Promoter_Associated; Regulatory_Feature_Name=2:8617671-8618390; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LINC00299,339789,ENST00000764356.1_2,chr2,8628384,-,10229,downstream,FALSE,NA,NA,NA,U,No CpG- or LINC00299-specific human MASLD evidence identified.,No human liver-fibrosis evidence identified.,No experimental MASLD evidence identified.,No experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,"Intergenic enhancer ~10.2 kb from LINC00299. Literature for LINC00299 is mainly outside liver disease, and no regulatory link from this CpG to LINC00299 was identified.",,,,"Despite statistical rank 4 and strict-subset membership, the locus remains biologically unresolved in the MASLD/liver context.",,FALSE,Not selected for the interpretation panel because biological assignment is unresolved and two even higher-ranked unresolved loci were already retained to represent discovery-oriented signals.
5,cg08928408,NA,NA,NA,NA,NA,108.7702700256975,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,3.5812472605171675e-46,45.44596569290291,40.83811918669092,0.17208621330490811,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_replicated_all5,TRUE,chr3,149454106,149454106,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,WWTR1,25937,ENST00000474080.1_3,chr3,149454501,-,394,downstream,FALSE,NA,NA,NA,C,Adjacent-gene context only — WWTR1/TAZ is markedly increased in hepatocytes in human NASH compared with normal/steatotic liver.,Adjacent-gene context only — human NASH liver showed TAZ elevation; fibrosis causality is supported primarily by experimental models.,"Yes for adjacent WWTR1 — hepatocyte TAZ silencing prevented/reversed NASH inflammation and fibrosis, whereas TAZ expression promoted NASH features in mice.","Yes for adjacent WWTR1 — multiple NASH models, including hepatocyte-humanized mice, support a causal profibrotic TAZ pathway.",Yes for adjacent WWTR1 — mechanistically links hepatocyte stress to IHH-dependent hepatic stellate-cell activation.,"Intergenic enhancer 394 bp from the WWTR1 TSS. The disease evidence is exceptionally strong for WWTR1, but no direct evidence links cg08928408 methylation to WWTR1 expression or function.",https://pubmed.ncbi.nlm.nih.gov/28068223/,https://pubmed.ncbi.nlm.nih.gov/31497743/,https://pubmed.ncbi.nlm.nih.gov/38144682/,"WWTR1/TAZ is one of the strongest MASLD/MASH-fibrosis genes near any intergenic Top-30 locus. Because cg08928408 lies only 394 bp from its TSS and is enhancer-annotated, the neighborhood is biologically notable; nevertheless, the CpG must be described as 'near WWTR1', not as a WWTR1 regulatory CpG.",4,TRUE,"Selected because of statistical rank 5 and unusually close proximity to a gene with strong human and causal MASH-fibrosis evidence, while explicitly preserving the unresolved CpG-to-gene link."
6,cg24680129,NA,NA,NA,NA,NA,108.742850051706,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,7.3117628799664955e-40,39.13597790118997,33.046689582539855,0.1195908419565664,lower methylation in case/higher stage,disease_vs_healthy,1,FALSE,stage_and_binary_all5,TRUE,chr12,13318625,13318625,-,NA,NA,NA,OpenSea,NA,12:13318412-13318944,Unclassified_Cell_type_specific,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=12:13318412-13318944; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,EMP1,2012,ENST00000431267.2_1,chr12,13349657,+,31031,upstream,FALSE,NA,NA,NA,C,Adjacent-gene context only — EMP1 is elevated in human NASH/advanced fibrotic liver datasets and was validated in human MASLD donor-liver work.,Adjacent-gene context only — EMP1 is reported in human fibrotic liver/HSC signatures.,"Adjacent-gene context only — EMP1 has mechanistic MASLD-IRI/HSC evidence, but this is not evidence for cg24680129.",Adjacent-gene context only — EMP1 is linked to HSC activation and fibrosis in experimental systems.,Potentially relevant through HSC activation rather than hepatocyte metabolism.,Intergenic enhancer/DHS ~31 kb from the EMP1 TSS. Strong EMP1 liver evidence does not establish a regulatory connection to this CpG.,https://pubmed.ncbi.nlm.nih.gov/37008256/,https://pubmed.ncbi.nlm.nih.gov/41284206/,,"EMP1 is biologically compelling for hepatic stellate-cell activation and fibrosis, including NASH/MASLD contexts, but the candidate CpG is ~31 kb from EMP1. This distance and absence of CpG-specific regulatory evidence substantially weaken locus-level interpretation.",,FALSE,Not selected despite statistical rank 6 because the appealing biology belongs to a relatively distant nearest gene and the CpG-to-EMP1 link is unvalidated.
7,cg05099464,ARHGEF12,ARHGEF12,ARHGEF12,ARHGEF12;LARG;PRO2792,org.Hs.eg.db:SYMBOL,107.46226113266084,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,4.143689781786342e-93,92.38261276559425,50.7547773467835,0.25158606275130646,lower methylation in case/higher stage,disease_vs_healthy,1,FALSE,stable_secondary,TRUE,chr11,120302922,120302922,+,Body,Body,NM_015313,OpenSea,NA,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,B,No direct MASLD-specific ARHGEF12 study identified.,Yes — the LARG/ARHGEF12 pathway was examined in human cirrhotic liver and hepatic stellate-cell contraction/portal hypertension.,No direct MASLD model identified.,"Yes — cirrhotic mouse and HSC experiments support LARG-mediated RhoA signaling in HSC contraction, with long-term pathway inhibition ameliorating fibrosis/inflammation.",Indirect; relevant mainly to fibrogenic HSC signaling and contractility rather than lipid metabolism.,Direct gene-body annotation to ARHGEF12. Evidence is gene/pathway-level and does not establish a functional consequence of cg05099464 methylation.,https://pubmed.ncbi.nlm.nih.gov/33085791/,,,"ARHGEF12 (LARG) participates in Wnt/Gli1-dependent RhoA activation in hepatic stellate cells and cirrhotic portal hypertension, with supporting human liver and mouse/HSC experiments. The evidence is liver-fibrosis-specific but not MASLD-specific.",8,TRUE,"Selected because it is statistical rank 7, directly gene-annotated, and has mechanistic and human-liver support for a relevant hepatic stellate-cell/fibrosis pathway."
8,cg22946219,RAI1,RAI1,RAI1,RAI1;SMCR;SMS,org.Hs.eg.db:SYMBOL,107.20406433435691,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,2.2258980742442844e-65,64.65249472625771,25.91871331286164,0.12847691303489608,higher methylation in case/higher stage,disease_vs_healthy,1,FALSE,stable_secondary,FALSE,chr17,17714414,17714414,+,3'UTR,3'UTR,NM_030665,Island,chr17:17712911-17714456,NA,NA,TRUE,TRUE,NA,17:17654992-17655201,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,metabolic_obesity_plausible,2,RAI1 lipid/metabolic regulation,D,No direct human MASLD/NAFLD liver evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,"Indirect — human RAI1-haploinsufficient cells show altered lipid metabolism, lipid-droplet accumulation, defective autophagy, mitochondrial dysfunction and ROS.","Direct 3'UTR annotation to RAI1, but available evidence is systemic/cellular metabolic biology from Smith-Magenis syndrome rather than liver disease.",https://pubmed.ncbi.nlm.nih.gov/36411275/,,,RAI1 provides a plausible metabolic/autophagy context but currently lacks direct hepatic MASLD or fibrosis evidence. Its relevance should therefore be presented as indirect rather than liver-specific.,13,TRUE,"Selected because it is a high statistical rank (8), directly annotated to RAI1 and has reproducible lipid/autophagy/mitochondrial biology, while being clearly labeled as indirect MASLD evidence."
9,cg13175329,NA,NA,NA,NA,NA,106.57064613221632,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,3.0612672054001446e-79,78.51409876097239,38.58707735567381,0.1596743037920233,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stable_secondary,FALSE,chr6,25035073,25035073,-,NA,NA,NA,OpenSea,NA,6:25034720-25035074,Unclassified,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=6:25034720-25035074; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC102724765,102724765,ENST00000762192.1_1,chr6,25036303,-,1229,downstream,FALSE,NA,NA,NA,U,No convincing MASLD evidence identified for the intergenic locus or nearest LOC102724765.,No convincing liver-fibrosis evidence identified.,No direct experimental MASLD evidence identified.,No direct experimental fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~1.2 kb from an uncharacterized LOC transcript; no functional locus-to-gene evidence identified.,,,,Strong statistical signal but currently lacks an interpretable gene or disease-specific biological context.,,FALSE,Not selected because the locus is biologically unresolved despite statistical rank 9.
10,cg06974428,PIP4K2A,PIP4K2A,PIP4K2A,PI5P4KA;PIP4K2A;PIP5K2A;PIP5KII-alpha;PIP5KIIA;PIPK,org.Hs.eg.db:SYMBOL,105.38806614605734,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,3.2602906984842676e-91,90.48674367504891,62.23867707885327,0.21476619544297396,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stable_secondary,FALSE,chr10,22972299,22972299,-,Body,Body,NM_005028,OpenSea,NA,10:22972157-22972556,Unclassified,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=Unclassified; Regulatory_Feature_Name=10:22972157-22972556; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,masld_metabolism_plausible,3,Phosphoinositides in MASLD,C,No direct human MASLD association for PIP4K2A identified.,No direct human liver-fibrosis evidence identified.,Indirect experimental metabolic-liver evidence — liver-specific Pip4k2a/Pip4k2b deletion causes hepatic lipid-droplet accumulation and defective autophagy during fasting.,No direct experimental liver-fibrosis evidence identified.,"Yes — strong mechanistic evidence for hepatic lipid handling, autophagy/lysosomal flux and phosphoinositide metabolism.",Direct PIP4K2A gene-body annotation. Evidence is hepatic metabolic mechanism rather than direct MASLD disease validation.,https://pubmed.ncbi.nlm.nih.gov/29727621/,,,"PIP4K2A is biologically plausible through hepatic phosphoinositide signaling, autophagy and lipid-droplet homeostasis. Liver-specific knockout evidence is strong mechanistically, but a direct MASLD/fibrosis association has not been established.",10,TRUE,"Selected because of statistical rank 10, direct gene annotation, very strong cross-study signal and a coherent hepatic lipid/autophagy mechanism."
